old_entity_id,canonical_entity_id,family_key,reason,confidence
molecule.ecocyc.CPD-24859,molecule.ecocyc.CPD-17931,sm:name:a peptidoglycan internal segment with l alanyl d glutamyl meso 2 6 diaminopimeloyl d alanine tetrapeptide,same family_key via deterministic merge,high
molecule.ecocyc.CPD-18804,molecule.ecocyc.CPD-17931,sm:name:a peptidoglycan internal segment with l alanyl d glutamyl meso 2 6 diaminopimeloyl d alanine tetrapeptide,same family_key via deterministic merge,high
molecule.ecocyc.RNA-Ligase-L-lysine-adenylate,molecule.ecocyc.DNA-Ligase-L-lysine-adenylate,sm:name:a dna ligase n6 5 adenylyl l lysine,same family_key via deterministic merge,high
molecule.ecocyc.Protein-alpha-L-Glutamates,molecule.ecocyc.Protein-Glutamates,sm:name:a protein l glutamate,same family_key via deterministic merge,high
molecule.ecocyc.Protein-gamma-glutamates,molecule.ecocyc.Protein-Glutamates,sm:name:a protein l glutamate,same family_key via deterministic merge,high
molecule.ecocyc.1-gamma-Linolenoyl-L-Phosphatidate,molecule.ecocyc.1-Alpha-Linolenoyl-L-Phosphatidate,sm:name:a 1 linolenoyl 2 acyl sn glycerol 3 phosphate,same family_key via deterministic merge,high
molecule.ecocyc.an-N-acetyl-beta-D-glucosaminide,molecule.ecocyc.ALPHA_ACETYLGLUCOSAMINIDES,sm:name:an n acetyl d glucosaminide,same family_key via deterministic merge,high
molecule.ecocyc.GLUCOSE-16-DIPHOSPHATE,molecule.ecocyc.CPD-16577,sm:name:glucose 1 6 bisphosphate,same family_key via deterministic merge,high
molecule.ecocyc.Protein-pi-phospho-L-histidines,molecule.ecocyc.Protein-phospho-L-histidines,sm:name:a protein n phospho l histidine,same family_key via deterministic merge,high
molecule.ecocyc.Protein-tauphospho-L-histidines,molecule.ecocyc.Protein-phospho-L-histidines,sm:name:a protein n phospho l histidine,same family_key via deterministic merge,high
molecule.ecocyc.D-RIBULOFURANOSE,molecule.ecocyc.CPD-24935,sm:name:d ribulofuranose,same family_key via deterministic merge,high
molecule.ecocyc.CPD-24939,molecule.ecocyc.CPD-24935,sm:name:d ribulofuranose,same family_key via deterministic merge,high
molecule.ecocyc.L-idopyranuronate,molecule.ecocyc.CPD-21254,sm:name:l idopyranuronate,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-1373,molecule.ecocyc.CPD0-1370,sm:name:2 6 anhydro 3 deoxy d arabino heptulopyranosid onate 7 phosphate,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-2499,molecule.ecocyc.CPD-16619,sm:name:methyl d glucoside 6 phosphate,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-2669,molecule.ecocyc.CPD0-2668,sm:name:1 o methyl d glucose,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-2657,molecule.ecocyc.CPD0-2655,sm:name:3 dehydro 1 o methyl d glucose,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-2658,molecule.ecocyc.CPD0-2656,sm:name:3 dehydro 1 o methyl d gulose,same family_key via deterministic merge,high
molecule.ecocyc.CPD-22526,molecule.ecocyc.CPD-22525,sm:name:p aminophenyl d glucoside,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5103,reaction.ecocyc.3.4.21.102-RXN,reaction:eq:c47e154b5d7a,same family_key via deterministic merge,high
reaction.ecocyc.3.4.21.107-RXN,reaction.ecocyc.3.4.21.102-RXN,reaction:eq:c47e154b5d7a,same family_key via deterministic merge,high
reaction.ecocyc.3.4.21.87-RXN,reaction.ecocyc.3.4.21.102-RXN,reaction:eq:c47e154b5d7a,same family_key via deterministic merge,high
reaction.ecocyc.CHERTARM-RXN,reaction.ecocyc.CHERTAPM-RXN,reaction:ec:2.1.1.80,same family_key via deterministic merge,high
reaction.ecocyc.CHERTSRM-RXN,reaction.ecocyc.CHERTAPM-RXN,reaction:ec:2.1.1.80,same family_key via deterministic merge,high
reaction.ecocyc.CHERTRGM-RXN,reaction.ecocyc.CHERTAPM-RXN,reaction:ec:2.1.1.80,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5205,reaction.ecocyc.ABC-63-RXN,reaction:eq:a012528f757a,same family_key via deterministic merge,high
reaction.ecocyc.RXN-14452,reaction.ecocyc.RXN-13519,reaction:eq:a2ab79b1dfa6,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN-218,reaction.ecocyc.RXN-13519,reaction:eq:a2ab79b1dfa6,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-608,reaction.ecocyc.RXN0-7189,reaction:eq:7e34bbf781c6,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-3182,reaction.ecocyc.3.4.24.55-RXN,reaction:eq:05d2061d13bb,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5195,reaction.ecocyc.3.4.24.55-RXN,reaction:eq:05d2061d13bb,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-3221,reaction.ecocyc.3.4.24.55-RXN,reaction:eq:05d2061d13bb,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-575,reaction.ecocyc.RXN0-1741,reaction:eq:f13d1cfd9c6b,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN-344,reaction.ecocyc.TRANS-RXN-338,reaction:eq:4745fd0d24cb,same family_key via deterministic merge,high
reaction.ecocyc.RXN-21299,reaction.ecocyc.3.4.21.53-RXN,reaction:eq:892feb31445d,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN-365,reaction.ecocyc.TRANS-RXN-352,reaction:eq:734a1e7a1fd4,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-2605,reaction.ecocyc.3.1.21.1-RXN,reaction:eq:c077b94d8f07,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-0244,reaction.ecocyc.TRANS-RXN-72,reaction:eq:e6c0471cc0ee,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-553,reaction.ecocyc.TRANS-RXN-299,reaction:eq:8c91dc39bec5,same family_key via deterministic merge,high
reaction.ecocyc.3.4.11.9-RXN,reaction.ecocyc.3.4.11.1-RXN,reaction:eq:11996b4c900d,same family_key via deterministic merge,high
reaction.ecocyc.MCPTAR-RXN,reaction.ecocyc.MCPTAP-RXN,reaction:ec:3.1.1.61,same family_key via deterministic merge,high
reaction.ecocyc.MCPTSR-RXN,reaction.ecocyc.MCPTAP-RXN,reaction:ec:3.1.1.61,same family_key via deterministic merge,high
reaction.ecocyc.MCPTRG-RXN,reaction.ecocyc.MCPTAP-RXN,reaction:ec:3.1.1.61,same family_key via deterministic merge,high
reaction.ecocyc.CHEBTSRD-RXN,reaction.ecocyc.CHEBTAPD-RXN,reaction:ec:3.5.1.44,same family_key via deterministic merge,high
reaction.ecocyc.CHEBTARD-RXN,reaction.ecocyc.CHEBTAPD-RXN,reaction:ec:3.5.1.44,same family_key via deterministic merge,high
reaction.ecocyc.CHEBTRGD-RXN,reaction.ecocyc.CHEBTAPD-RXN,reaction:ec:3.5.1.44,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5268,reaction.ecocyc.RXN0-5266,reaction:eq:9b743c1f2d74,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN-498,reaction.ecocyc.TRANS-RXN-237,reaction:eq:5f13b3c8595b,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-487,reaction.ecocyc.RXN0-16,reaction:eq:3a9152402124,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-234,reaction.ecocyc.RXN0-5254,reaction:eq:08bfa50e7362,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-7433,reaction.ecocyc.RXN-23961,reaction:eq:6ceac83aff33,same family_key via deterministic merge,high
reaction.ecocyc.RXN-24178,reaction.ecocyc.RXN-11109,reaction:eq:ea588258efb6,same family_key via deterministic merge,high
reaction.ecocyc.RXN-24177,reaction.ecocyc.RXN-11109,reaction:eq:ea588258efb6,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5259,reaction.ecocyc.RXN-17661,reaction:eq:2d7a6051fb9d,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-585,reaction.ecocyc.TRANS-RXN-141A,reaction:eq:19586b26bf61,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-584,reaction.ecocyc.TRANS-RXN-141B,reaction:eq:8202ed39a0a6,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-237,reaction.ecocyc.RXN0-5244,reaction:eq:6ef1c007f54c,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-21,reaction.ecocyc.RXN0-11,reaction:eq:6206ebee5197,same family_key via deterministic merge,high
reaction.ecocyc.RXN-15513,reaction.ecocyc.3PGAREARR-RXN,reaction:eq:bb5fd30e43ad,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-547,reaction.ecocyc.TRANS-RXN-145,reaction:eq:b35352ef74a4,same family_key via deterministic merge,high
reaction.ecocyc.TRANS-RXN0-603,reaction.ecocyc.TRANS-RXN-145,reaction:eq:b35352ef74a4,same family_key via deterministic merge,high
reaction.ecocyc.RXN0-5509,reaction.ecocyc.3.1.27.6-RXN,reaction:eq:a388bd68542d,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8274,complex.ecocyc.CHEA-CPLX,comp:28a51d671bef,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8115,complex.ecocyc.CPLX-154,comp:28542b206b52,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-2,complex.ecocyc.CPLX0-1,comp:8fd48aa233d5,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-7956,complex.ecocyc.CPLX0-1041,comp:948bda4e788d,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8253,complex.ecocyc.CPLX0-1041,comp:948bda4e788d,same family_key via deterministic merge,high
complex.ecocyc.DSBG-CPLX,complex.ecocyc.CPLX0-10624,comp:1280ee580aeb,same family_key via deterministic merge,high
protein.ecocyc.PHOSPHO-TORR,complex.ecocyc.CPLX0-2821,comp:ae7aab496b3b,same family_key via deterministic merge,high
complex.ecocyc.TORR-CPLX,complex.ecocyc.CPLX0-2821,comp:ae7aab496b3b,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-7657,complex.ecocyc.CPLX0-2861,comp:fd11d3f1130c,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8117,complex.ecocyc.CPLX0-2861,comp:fd11d3f1130c,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8300,complex.ecocyc.CPLX0-3951,comp:85f784789336,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8580,complex.ecocyc.CPLX0-7787,comp:035f9e1a7928,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-ATOS,complex.ecocyc.CPLX0-7870,comp:2ba1dc28fa7e,same family_key via deterministic merge,high
complex.ecocyc.PTSI-PHOSPHORYLATED,complex.ecocyc.CPLX0-7938,comp:e2c919ffbd1b,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8075,complex.ecocyc.CPLX0-7970,comp:0b635855157e,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-PHOQ,complex.ecocyc.CPLX0-8168,comp:ec01640a6d73,same family_key via deterministic merge,high
