Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
P0ADI4	ENTB_ECOLI	entB entG b0595 JW0587	Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: Isochorismatase (EC 3.3.2.1) (2,3-dihydro-2,3-dihydroxybenzoate synthase) (Isochorismate lyase); Aryl carrier protein (ArCP)]	Escherichia coli (strain K12)	3.3.2.1; 6.3.2.14	ecj:JW0587;eco:b0595;ecoc:C3026_02970;	946178;
P0ADL1	NEPI_ECOLI	nepI yicM b3662 JW5938	Purine ribonucleoside efflux pump NepI (Nucleoside efflux permease-inosine)	Escherichia coli (strain K12)		ecj:JW5938;eco:b3662;ecoc:C3026_19850;	75205376;948213;
P0ADN0	VIAA_ECOLI	viaA yieD yieM b3745 JW5610	Regulatory protein ViaA (VWA interacting with AAA+ ATPase)	Escherichia coli (strain K12)		ecj:JW5610;eco:b3745;ecoc:C3026_20290;	93778222;948257;
P0ADN2	MAOP_ECOLI	maoP yifE b3764 JW3737	Macrodomain Ori protein	Escherichia coli (strain K12)		ecj:JW3737;eco:b3764;ecoc:C3026_20395;	86861871;93778186;948274;
P0ADP0	YIGB_ECOLI	yigB b3812 JW3785	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB (EC 3.1.3.104)	Escherichia coli (strain K12)	3.1.3.104	ecj:JW3785;eco:b3812;ecoc:C3026_20635;	93778131;948357;
P0ADP2	YIGI_ECOLI	yigI b3820 JW5588	Medium/long-chain acyl-CoA thioesterase YigI (EC 3.1.2.20)	Escherichia coli (strain K12)	3.1.2.20	ecj:JW5588;eco:b3820;ecoc:C3026_20675;	93778117;948338;
P0ADR8	PPNN_ECOLI	ppnN ygdH b2795 JW2766	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)	Escherichia coli (strain K12)	3.2.2.-; 3.2.2.10; 3.2.2.4	ecj:JW2766;eco:b2795;ecoc:C3026_15370;	75172879;75203814;947266;
P0ADS2	ZAPA_ECOLI	zapA ygfE b2910 JW2878	Cell division protein ZapA (Z ring-associated protein ZapA)	Escherichia coli (strain K12)		ecj:JW2878;eco:b2910;ecoc:C3026_15950;	86860993;93779091;947404;
P0ADV1	LPTA_ECOLI	lptA yhbN b3200 JW3167	Lipopolysaccharide export system protein LptA	Escherichia coli (strain K12)		ecj:JW3167;eco:b3200;ecoc:C3026_17415;	86862403;93778781;947920;
P0ADV9	LPTC_ECOLI	lptC yrbK b3199 JW3166	Lipopolysaccharide export system protein LptC	Escherichia coli (strain K12)		ecj:JW3166;eco:b3199;ecoc:C3026_17410;	75173373;75206055;947722;
P0ADY1	PPID_ECOLI	ppiD ybaU b0441 JW0431	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	Escherichia coli (strain K12)		ecj:JW0431;eco:b0441;ecoc:C3026_02160;	93777013;946056;
P0ADY3	RL14_ECOLI	rplN b3310 JW3272	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	Escherichia coli (strain K12)		ecj:JW3272;eco:b3310;ecoc:C3026_17990;	86862292;93778677;947809;
P0ADY7	RL16_ECOLI	rplP b3313 JW3275	Large ribosomal subunit protein uL16 (50S ribosomal protein L16)	Escherichia coli (strain K12)		ecj:JW3275;eco:b3313;ecoc:C3026_18005;	86862289;93778674;947806;
P0ADZ0	RL23_ECOLI	rplW b3318 JW3280	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)	Escherichia coli (strain K12)		ecj:JW3280;eco:b3318;ecoc:C3026_18030;	86862284;93778669;947819;
P0ADZ4	RS15_ECOLI	rpsO secC b3165 JW3134	Small ribosomal subunit protein uS15 (30S ribosomal protein S15)	Escherichia coli (strain K12)		ecj:JW3134;eco:b3165;ecoc:C3026_17240;	89518009;93778818;947686;
P0AE01	TRMJ_ECOLI	trmJ yfhQ b2532 JW2516	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (TrMet(Xm32)) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	Escherichia coli (strain K12)	2.1.1.200	ecj:JW2516;eco:b2532;ecoc:C3026_14030;	86860658;948610;
P0AE06	ACRA_ECOLI	acrA lir mtcA b0463 JW0452	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A) (Membrane fusion protein AcrA)	Escherichia coli (strain K12)		ecj:JW0452;eco:b0463;ecoc:C3026_02270;	75170481;75202888;945112;
P0AE08	AHPC_ECOLI	ahpC b0605 JW0598	Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (SCRP-23) (Sulfate starvation-induced protein 8) (SSI8) (Thioredoxin peroxidase)	Escherichia coli (strain K12)	1.11.1.26	ecj:JW0598;eco:b0605;	86863127;93776879;945225;
P0AE12	AMN_ECOLI	amn b1982 JW1963	AMP nucleosidase (EC 3.2.2.4)	Escherichia coli (strain K12)	3.2.2.4	ecj:JW1963;eco:b1982;ecoc:C3026_11190;	75172115;75202785;946508;
P0AE16	AMPG_ECOLI	ampG b0433 JW0423	Anhydromuropeptide permease (AmpG permease) (Muropeptide:H(+) symporter)	Escherichia coli (strain K12)		ecj:JW0423;eco:b0433;ecoc:C3026_02115;	75170451;946438;
P0AE18	MAP1_ECOLI	map b0168 JW0163	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	Escherichia coli (strain K12)	3.4.11.18	ecj:JW0163;eco:b0168;ecoc:C3026_00765;	93777257;947882;
P0AE22	APHA_ECOLI	aphA napA yjbP b4055 JW4015	Class B acid phosphatase (CBAP) (EC 3.1.3.2)	Escherichia coli (strain K12)	3.1.3.2	ecj:JW4015;eco:b4055;ecoc:C3026_21915;	948562;
P0AE24	ARAE_ECOLI	araE b2841 JW2809	Arabinose-proton symporter (Arabinose transporter)	Escherichia coli (strain K12)		ecj:JW2809;eco:b2841;ecoc:C3026_15600;	93779155;947341;
P0AE52	BCP_ECOLI	bcp b2480 JW2465	Peroxiredoxin Bcp (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Bcp)	Escherichia coli (strain K12)	1.11.1.24	ecj:JW2465;eco:b2480;ecoc:C3026_13765;	89517289;93774658;946949;
P0AE67	CHEY_ECOLI	cheY b1882 JW1871	Chemotaxis protein CheY	Escherichia coli (strain K12)		ecj:JW1871;eco:b1882;ecoc:C3026_10705;	93776187;946393;
P0AE70	MAZF_ECOLI	mazF chpA chpAK b2782 JW2753	Endoribonuclease toxin MazF (EC 3.1.27.-) (Toxin MazF) (mRNA interferase MazF)	Escherichia coli (strain K12)	3.1.27.-	ecj:JW2753;eco:b2782;ecoc:C3026_15285;	93779216;947252;
P0AE72	MAZE_ECOLI	mazE chpAI chpR b2783 JW2754	Antitoxin MazE	Escherichia coli (strain K12)		ecj:JW2754;eco:b2783;ecoc:C3026_15290;	93779215;947245;
P0AE82	CPXA_ECOLI	cpxA ecfB eup ssd b3911 JW3882	Sensor histidine kinase CpxA (EC 2.7.13.3)	Escherichia coli (strain K12)	2.7.13.3	ecj:JW3882;eco:b3911;ecoc:C3026_21150;	93778027;948405;
P0AE85	CPXP_ECOLI	cpxP yiiO b4484 JW5558	Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP)	Escherichia coli (strain K12)		ecj:JW5558;eco:b4484;ecoc:C3026_21160;	2847688;93778025;
P0AE88	CPXR_ECOLI	cpxR yiiA b3912 JW3883	Transcriptional regulatory protein CpxR	Escherichia coli (strain K12)		ecj:JW3883;eco:b3912;ecoc:C3026_21155;	86861693;93778026;948404;
P0AEA8	CYSG_ECOLI	cysG b3368 JW3331	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	Escherichia coli (strain K12)	1.3.1.76; 2.1.1.107; 4.99.1.4	ecj:JW3331;eco:b3368;ecoc:C3026_18290;	75173526;947880;
P0AEB2	DACA_ECOLI	dacA pfv b0632 JW0627	D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Beta-lactamase) (EC 3.5.2.6) (Penicillin-binding protein 5) (PBP-5)	Escherichia coli (strain K12)	3.4.16.4; 3.5.2.6	ecj:JW0627;eco:b0632;ecoc:C3026_03160;	93776850;945222;
P0AEC3	ARCB_ECOLI	arcB b3210 JW5536	Aerobic respiration control sensor protein ArcB (EC 2.7.13.3)	Escherichia coli (strain K12)	2.7.13.3	ecj:JW5536;eco:b3210;ecoc:C3026_17465;	93778771;947887;
P0AEC5	BARA_ECOLI	barA b2786 JW2757	Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)	Escherichia coli (strain K12)	2.7.13.3	ecj:JW2757;eco:b2786;ecoc:C3026_15320;	75172870;75203823;947255;
P0AEC8	DCUS_ECOLI	dcuS yjdH b4125 JW4086	Sensor histidine kinase DcuS (EC 2.7.13.3) (Fumarate sensor)	Escherichia coli (strain K12)	2.7.13.3	ecj:JW4086;eco:b4125;ecoc:C3026_22295;	75169643;948639;
P0AED7	DAPE_ECOLI	dapE msgB b2472 JW2456	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	Escherichia coli (strain K12)	3.5.1.18	ecj:JW2456;eco:b2472;ecoc:C3026_13715;	948313;
P0AEE3	DEGS_ECOLI	degS hhoB htrH b3235 JW3204	Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (S1P protease DegS) (Site-1-type intramembrane protease)	Escherichia coli (strain K12)	3.4.21.107	ecj:JW3204;eco:b3235;ecoc:C3026_17600;	93778751;947865;
P0AEE5	MGLB_ECOLI	mglB b2150 JW2137	D-galactose/methyl-galactoside binding periplasmic protein MglB (D-galactose-binding periplasmic protein) (GBP) (D-galactose/D-glucose-binding protein) (GGBP)	Escherichia coli (strain K12)		ecj:JW2137;eco:b2150;ecoc:C3026_12045;	86860325;93775032;949041;
P0AEE8	DMA_ECOLI	dam b3387 JW3350	DNA adenine methylase (EC 2.1.1.72) (DNA adenine methyltransferase) (Deoxyadenosyl-methyltransferase) (Orphan methyltransferase M.EcoKDam) (M.EcoKDam)	Escherichia coli (strain K12)	2.1.1.72	ecj:JW3350;eco:b3387;ecoc:C3026_18380;	75173544;75206325;947893;
