Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	Small protein MgtS	Escherichia coli (strain K12)		eco:b4599;ecoc:C3026_08865;	45138670;5061497;93032982;
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	Escherichia coli (strain K12)		ecj:JW3955;eco:b4407;ecoc:C3026_21560;	2847702;
P00350	6PGD_ECOLI	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Escherichia coli (strain K12)	1.1.1.44	ecj:JW2011;eco:b2029;ecoc:C3026_11435;	946554;
P00363	FRDA_ECOLI	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	Escherichia coli (strain K12)	1.3.5.1	ecj:JW4115;eco:b4154;ecoc:C3026_22455;	93777668;948667;
P00370	DHE4_ECOLI	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	Escherichia coli (strain K12)	1.4.1.4	ecj:JW1750;eco:b1761;ecoc:C3026_10050;	946802;
P00393	NDH_ECOLI	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	Escherichia coli (strain K12)	1.16.1.-; 1.6.5.9	ecj:JW1095;eco:b1109;ecoc:C3026_06690;	86863609;93776299;946792;
P00448	SODM_ECOLI	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	Escherichia coli (strain K12)	1.15.1.1	ecj:JW3879;eco:b3908;ecoc:C3026_21130;	948403;
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	Escherichia coli (strain K12)	1.17.4.1	ecj:JW2228;eco:b2234;ecoc:C3026_12485;	93774941;946612;
P00490	PHSM_ECOLI	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)	Escherichia coli (strain K12)	2.4.1.1	ecj:JW5689;eco:b3417;ecoc:C3026_18535;	75202260;947922;
P00509	AAT_ECOLI	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	Escherichia coli (strain K12)	2.6.1.1	ecj:JW0911;eco:b0928;ecoc:C3026_05700;	93776486;945553;
P00550	PTM3C_ECOLI	mtlA b3599 JW3573	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	Escherichia coli (strain K12)	2.7.1.197	ecj:JW3573;eco:b3599;ecoc:C3026_19515;	948118;
P00561	AK1H_ECOLI	thrA thrA1 thrA2 b0002 JW0001	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	1.1.1.3; 2.7.2.4	ecj:JW0001;eco:b0002;ecoc:C3026_00010;	945803;
P00562	AK2H_ECOLI	metL metM b3940 JW3911	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	1.1.1.3; 2.7.2.4	ecj:JW3911;eco:b3940;ecoc:C3026_21290;	86861662;948433;
P00579	RPOD_ECOLI	rpoD alt b3067 JW3039	RNA polymerase sigma factor RpoD (Sigma-70)	Escherichia coli (strain K12)		ecj:JW3039;eco:b3067;ecoc:C3026_16755;	947567;
P00582	DPO1_ECOLI	polA resA b3863 JW3835	DNA polymerase I (POL I) (EC 2.7.7.7)	Escherichia coli (strain K12)	2.7.7.7	ecj:JW3835;eco:b3863;ecoc:C3026_20885;	93778073;948356;
P00634	PPB_ECOLI	phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)	Escherichia coli (strain K12)	3.1.3.1	ecj:JW0374;eco:b0383;	945041;
P00722	BGAL_ECOLI	lacZ b0344 JW0335	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	Escherichia coli (strain K12)	3.2.1.23	ecj:JW0335;eco:b0344;	945006;
P00803	LEP_ECOLI	lepB b2568 JW2552	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	Escherichia coli (strain K12)	3.4.21.89	ecj:JW2552;eco:b2568;ecoc:C3026_14225;	947040;
P00804	LSPA_ECOLI	lspA lsp b0027 JW0025	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	Escherichia coli (strain K12)	3.4.23.36	ecj:JW0025;eco:b0027;ecoc:C3026_00130;	93777409;944800;
P00805	ASPG2_ECOLI	ansB b2957 JW2924	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	Escherichia coli (strain K12)	3.5.1.1	ecj:JW2924;eco:b2957;ecoc:C3026_16180;	947454;
P00811	AMPC_ECOLI	ampC ampA b4150 JW4111	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	Escherichia coli (strain K12)	3.5.2.6	ecj:JW4111;eco:b4150;ecoc:C3026_22435;	948669;
P00861	DCDA_ECOLI	lysA b2838 JW2806	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	Escherichia coli (strain K12)	4.1.1.20	ecj:JW2806;eco:b2838;ecoc:C3026_15585;	947313;
P00864	CAPP_ECOLI	ppc glu b3956 JW3928	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	Escherichia coli (strain K12)	4.1.1.31	ecj:JW3928;eco:b3956;ecoc:C3026_21375;	948457;
P00888	AROF_ECOLI	aroF b2601 JW2582	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Escherichia coli (strain K12)	2.5.1.54	ecj:JW2582;eco:b2601;ecoc:C3026_14405;	947084;
P00893	ILVI_ECOLI	ilvI b0077 JW0076	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	Escherichia coli (strain K12)	2.2.1.6	ecj:JW0076;eco:b0077;	948793;
P00894	ILVH_ECOLI	ilvH brnP b0078 JW0077	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	Escherichia coli (strain K12)	2.2.1.6	ecj:JW0077;eco:b0078;	947267;
P00903	PABA_ECOLI	pabA b3360 JW3323	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	Escherichia coli (strain K12)	2.6.1.85	ecj:JW3323;eco:b3360;ecoc:C3026_18250;	75206304;947873;
P00904	TRPGD_ECOLI	trpGD trpD b1263 JW1255	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	Escherichia coli (strain K12)	2.4.2.18; 4.1.3.27	ecj:JW1255;eco:b1263;ecoc:C3026_07410;	75203375;945109;
P00914	PHR_ECOLI	phrB phr b0708 JW0698	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	Escherichia coli (strain K12)	4.1.99.3	ecj:JW0698;eco:b0708;ecoc:C3026_03540;	947005;
P00926	SDHD_ECOLI	dsdA b2366 JW2363	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	Escherichia coli (strain K12)	4.3.1.18	ecj:JW2363;eco:b2366;ecoc:C3026_13160;	946837;
P00935	METB_ECOLI	metB b3939 JW3910	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	Escherichia coli (strain K12)	2.5.1.48	ecj:JW3910;eco:b3939;ecoc:C3026_21285;	948434;
P00936	CYAA_ECOLI	cyaA cya b3806 JW3778	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	Escherichia coli (strain K12)	4.6.1.1	ecj:JW3778;eco:b3806;ecoc:C3026_20605;	947755;
P00946	MANA_ECOLI	manA pmi b1613 JW1605	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Escherichia coli (strain K12)	5.3.1.8	ecj:JW1605;eco:b1613;ecoc:C3026_09280;	75204457;944840;
P00956	SYI_ECOLI	ileS ilvS b0026 JW0024	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	Escherichia coli (strain K12)	6.1.1.5	ecj:JW0024;eco:b0026;ecoc:C3026_00125;	93777410;944761;
P00957	SYA_ECOLI	alaS lovB b2697 JW2667	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	Escherichia coli (strain K12)	6.-.-.-; 6.1.1.7	ecj:JW2667;eco:b2697;ecoc:C3026_14845;	947175;
P00959	SYM_ECOLI	metG b2114 JW2101	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl transfer RNA synthetase) (Methionyl-tRNA synthetase) (MTS) (MetRS)	Escherichia coli (strain K12)	6.1.1.10	ecj:JW2101;eco:b2114;ecoc:C3026_11860;	946643;
P00962	SYQ_ECOLI	glnS b0680 JW0666	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	Escherichia coli (strain K12)	6.1.1.18	ecj:JW0666;eco:b0680;ecoc:C3026_03380;	93776805;945310;
P00963	ASNA_ECOLI	asnA b3744 JW3722	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	Escherichia coli (strain K12)	6.3.1.1	ecj:JW3722;eco:b3744;ecoc:C3026_20285;	948258;
P00968	CARB_ECOLI	carB pyrA b0033 JW0031	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	Escherichia coli (strain K12)	6.3.4.16; 6.3.5.5	ecj:JW0031;eco:b0033;ecoc:C3026_00170;	944775;
P02358	RS6_ECOLI	rpsF b4200 JW4158	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	Escherichia coli (strain K12)		ecj:JW4158;eco:b4200;	948723;
P02359	RS7_ECOLI	rpsG b3341 JW3303	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	Escherichia coli (strain K12)		ecj:JW3303;eco:b3341;ecoc:C3026_18145;	947846;
P02916	MALF_ECOLI	malF b4033 JW3993	Maltose/maltodextrin transport system permease protein MalF	Escherichia coli (strain K12)		ecj:JW3993;eco:b4033;	948532;
P02918	PBPA_ECOLI	mrcA ponA b3396 JW3359	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	Escherichia coli (strain K12)	2.4.99.28; 3.4.16.4	ecj:JW3359;eco:b3396;ecoc:C3026_18425;	947907;
P02919	PBPB_ECOLI	mrcB pbpF ponB b0149 JW0145	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	Escherichia coli (strain K12)	2.4.99.28; 3.4.16.4	ecj:JW0145;eco:b0149;ecoc:C3026_00655;	944843;
P02920	LACY_ECOLI	lacY b0343 JW0334	Lactose permease (Lactose-proton symport)	Escherichia coli (strain K12)		ecj:JW0334;eco:b0343;ecoc:C3026_01680;ecoc:C3026_24850;	75202506;949083;
P02921	MELB_ECOLI	melB mel-4 b4120 JW4081	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	Escherichia coli (strain K12)		ecj:JW4081;eco:b4120;ecoc:C3026_22265;	948635;
P02925	RBSB_ECOLI	rbsB prlB rbsP b3751 JW3730	Ribose import binding protein RbsB	Escherichia coli (strain K12)		ecj:JW3730;eco:b3751;ecoc:C3026_20320;	948261;
P02929	TONB_ECOLI	tonB exbA b1252 JW5195	Protein TonB	Escherichia coli (strain K12)		ecj:JW5195;eco:b1252;ecoc:C3026_07355;	945843;
P02930	TOLC_ECOLI	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	Escherichia coli (strain K12)		ecj:JW5503;eco:b3035;ecoc:C3026_16575;	93778958;947521;
P02931	OMPF_ECOLI	ompF cmlB coa cry tolF b0929 JW0912	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	Escherichia coli (strain K12)		ecj:JW0912;eco:b0929;ecoc:C3026_05710;	75204020;945554;
P02942	MCP1_ECOLI	tsr cheD b4355 JW4318	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	Escherichia coli (strain K12)		ecj:JW4318;eco:b4355;ecoc:C3026_23530;	948884;
P02943	LAMB_ECOLI	lamB malB b4036 JW3996	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	Escherichia coli (strain K12)		ecj:JW3996;eco:b4036;ecoc:C3026_21810;	948548;
P03004	DNAA_ECOLI	dnaA b3702 JW3679	Chromosomal replication initiator protein DnaA (EC 3.6.4.-)	Escherichia coli (strain K12)	3.6.4.-	ecj:JW3679;eco:b3702;	93778443;948217;
P03007	DPO3E_ECOLI	dnaQ mutD b0215 JW0205	DNA polymerase III subunit epsilon (EC 2.7.7.7)	Escherichia coli (strain K12)	2.7.7.7	ecj:JW0205;eco:b0215;	946441;
P03018	UVRD_ECOLI	uvrD mutU pdeB rad recL b3813 JW3786	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	Escherichia coli (strain K12)	5.6.2.4	ecj:JW3786;eco:b3813;ecoc:C3026_20640;	75204806;948347;
P03023	LACI_ECOLI	lacI b0345 JW0336	Lactose operon repressor	Escherichia coli (strain K12)		ecj:JW0336;eco:b0345;ecoc:C3026_04265;ecoc:C3026_04585;ecoc:C3026_04905;ecoc:C3026_24860;	945007;
P03819	KEFC_ECOLI	kefC trkC b0047 JW0046	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	Escherichia coli (strain K12)		ecj:JW0046;eco:b0047;ecoc:C3026_00245;	944773;
P03959	KDPA_ECOLI	kdpA b0698 JW0686	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	Escherichia coli (strain K12)		ecj:JW0686;eco:b0698;ecoc:C3026_03485;	946045;
P03960	KDPB_ECOLI	kdpB b0697 JW0685	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	Escherichia coli (strain K12)	7.2.2.6	ecj:JW0685;eco:b0697;ecoc:C3026_03480;	947450;
P03961	KDPC_ECOLI	kdpC b0696 JW0684	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	Escherichia coli (strain K12)		ecj:JW0684;eco:b0696;ecoc:C3026_03475;	947508;
P04036	DAPB_ECOLI	dapB b0031 JW0029	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	Escherichia coli (strain K12)	1.17.1.8	ecj:JW0029;eco:b0031;ecoc:C3026_00150;	944762;
P04079	GUAA_ECOLI	guaA b2507 JW2491	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	Escherichia coli (strain K12)	6.3.5.2	ecj:JW2491;eco:b2507;ecoc:C3026_13905;	947334;
P04152	UMUC_ECOLI	umuC b1184 JW1173	Protein UmuC (DNA polymerase V) (Pol V)	Escherichia coli (strain K12)		ecj:JW1173;eco:b1184;ecoc:C3026_06975;	946359;
P04391	OTC1_ECOLI	argI b4254 JW4211	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	Escherichia coli (strain K12)	2.1.3.3	ecj:JW4211;eco:b4254;ecoc:C3026_22950;	948774;
P04395	3MG2_ECOLI	alkA aidA b2068 JW2053	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	Escherichia coli (strain K12)	3.2.2.21	ecj:JW2053;eco:b2068;ecoc:C3026_11630;	947371;
P04425	GSHB_ECOLI	gshB gsh-II b2947 JW2914	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	Escherichia coli (strain K12)	6.3.2.3	ecj:JW2914;eco:b2947;ecoc:C3026_16130;	93779050;947445;
P04693	TYRB_ECOLI	tyrB b4054 JW4014	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	Escherichia coli (strain K12)	2.6.1.107; 2.6.1.57	ecj:JW4014;eco:b4054;ecoc:C3026_21905;	948563;
P04805	SYE_ECOLI	gltX b2400 JW2395	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	Escherichia coli (strain K12)	6.1.1.17	ecj:JW2395;eco:b2400;ecoc:C3026_13335;	93774730;946906;
P04825	AMPN_ECOLI	pepN b0932 JW0915	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	Escherichia coli (strain K12)	3.4.11.2	ecj:JW0915;eco:b0932;ecoc:C3026_05725;	947253;
P04968	ILVA_ECOLI	ilvA b3772 JW3745	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	Escherichia coli (strain K12)	4.3.1.19	ecj:JW3745;eco:b3772;ecoc:C3026_20430;	948287;
P04982	RBSD_ECOLI	rbsD b3748 JW5857	D-ribose pyranase (EC 5.4.99.62)	Escherichia coli (strain K12)	5.4.99.62	ecj:JW5857;eco:b3748;ecoc:C3026_20305;	75173982;948267;
P04983	RBSA_ECOLI	rbsA b3749 JW3728	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	Escherichia coli (strain K12)	7.5.2.7	ecj:JW3728;eco:b3749;ecoc:C3026_20310;	75173983;948264;
P04993	RECD_ECOLI	recD hopE b2819 JW2787	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	Escherichia coli (strain K12)	5.6.2.3	ecj:JW2787;eco:b2819;ecoc:C3026_15480;	75203789;947287;
P04994	EX7L_ECOLI	xseA b2509 JW2493	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)	Escherichia coli (strain K12)	3.1.11.6	ecj:JW2493;eco:b2509;ecoc:C3026_13915;	946988;
P04995	EX1_ECOLI	sbcB cpeA xonA b2011 JW1993	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	Escherichia coli (strain K12)	3.1.11.1	ecj:JW1993;eco:b2011;	946529;
P05020	PYRC_ECOLI	pyrC b1062 JW1049	Dihydroorotase (DHOase) (EC 3.5.2.3)	Escherichia coli (strain K12)	3.5.2.3	ecj:JW1049;eco:b1062;ecoc:C3026_06455;	75203649;945787;
P05041	PABB_ECOLI	pabB b1812 JW1801	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	Escherichia coli (strain K12)	2.6.1.85	ecj:JW1801;eco:b1812;	946337;
P05042	FUMC_ECOLI	fumC b1611 JW1603	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	Escherichia coli (strain K12)	4.2.1.2	ecj:JW1603;eco:b1611;ecoc:C3026_09270;	946147;
P05050	ALKB_ECOLI	alkB aidD b2212 JW2200	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	Escherichia coli (strain K12)	1.14.11.33	ecj:JW2200;eco:b2212;ecoc:C3026_12360;	946708;
P05055	PNP_ECOLI	pnp b3164 JW5851	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	Escherichia coli (strain K12)	2.7.7.8	ecj:JW5851;eco:b3164;ecoc:C3026_17235;	947672;
P05194	AROD_ECOLI	aroD b1693 JW1683	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Escherichia coli (strain K12)	4.2.1.10	ecj:JW1683;eco:b1693;ecoc:C3026_09695;	946210;
P05458	PTRA_ECOLI	ptrA ptr b2821 JW2789	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)	Escherichia coli (strain K12)	3.4.24.55	ecj:JW2789;eco:b2821;ecoc:C3026_15490;	947284;
P05523	FPG_ECOLI	mutM fpg b3635 JW3610	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	Escherichia coli (strain K12)	3.2.2.23; 4.2.99.18	ecj:JW3610;eco:b3635;ecoc:C3026_19700;	75202204;946765;
P05637	APAH_ECOLI	apaH b0049 JW0048	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	Escherichia coli (strain K12)	3.6.1.41	ecj:JW0048;eco:b0049;ecoc:C3026_00255;	93777386;944770;
P05704	MCP3_ECOLI	trg b1421 JW1417	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)	Escherichia coli (strain K12)		ecj:JW1417;eco:b1421;ecoc:C3026_08275;	945995;
P05791	ILVD_ECOLI	ilvD b3771 JW5605	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	Escherichia coli (strain K12)	4.2.1.9	ecj:JW5605;eco:b3771;ecoc:C3026_20425;	948277;
P05793	ILVC_ECOLI	ilvC b3774 JW3747	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	Escherichia coli (strain K12)	1.1.1.86	ecj:JW3747;eco:b3774;ecoc:C3026_20440;	948286;
P05804	BGLR_ECOLI	uidA gurA gusA b1617 JW1609	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase) (EcGUS) (UID)	Escherichia coli (strain K12)	3.2.1.31	ecj:JW1609;eco:b1617;ecoc:C3026_09300;	93775766;946149;
P05824	RECN_ECOLI	recN radB b2616 JW5416	DNA repair protein RecN (Recombination protein N)	Escherichia coli (strain K12)		ecj:JW5416;eco:b2616;ecoc:C3026_14480;	93774465;947105;
P05825	FEPA_ECOLI	fepA fep feuB b0584 JW5086	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	Escherichia coli (strain K12)		ecj:JW5086;eco:b0584;ecoc:C3026_02910;	945193;
P05852	TSAD_ECOLI	tsaD gcp ygjD b3064 JW3036	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	Escherichia coli (strain K12)	2.3.1.234	ecj:JW3036;eco:b3064;ecoc:C3026_16740;	75173186;947578;
P06129	BTUB_ECOLI	btuB bfe cer dcrC b3966 JW3938	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	Escherichia coli (strain K12)		ecj:JW3938;eco:b3966;	93777927;948468;
P06134	ADA_ECOLI	ada b2213 JW2201	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	Escherichia coli (strain K12)	2.1.1.63; 2.1.1.n11	ecj:JW2201;eco:b2213;ecoc:C3026_12365;	946710;
P06136	FTSQ_ECOLI	ftsQ b0093 JW0091	Cell division protein FtsQ	Escherichia coli (strain K12)		ecj:JW0091;eco:b0093;ecoc:C3026_00370;	944823;
P06149	DLD_ECOLI	dld b2133 JW2121	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)	Escherichia coli (strain K12)	1.1.5.12	ecj:JW2121;eco:b2133;ecoc:C3026_11960;	946653;
P06609	BTUC_ECOLI	btuC b1711 JW1701	Vitamin B12 import system permease protein BtuC	Escherichia coli (strain K12)		ecj:JW1701;eco:b1711;ecoc:C3026_09795;	945877;
P06611	BTUD_ECOLI	btuD b1709 JW1699	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	Escherichia coli (strain K12)	7.6.2.8	ecj:JW1699;eco:b1709;ecoc:C3026_09785;	945751;
