ecocyc_id,entity_id,entity_type,mapping_method,source_file
EG12086,gene.b2285,gene,ACCESSION-1,genes.dat
G0-8883,gene.b4433,gene,ACCESSION-1,genes.dat
EG10330,gene.b4154,gene,ACCESSION-1,genes.dat
G6978,gene.b1792,gene,ACCESSION-1,genes.dat
G6111,gene.b0227,gene,ACCESSION-1,genes.dat
EG10840,gene.b3784,gene,ACCESSION-1,genes.dat
G6909,gene.b1683,gene,ACCESSION-1,genes.dat
EG12214,gene.b3468,gene,ACCESSION-1,genes.dat
G6216,gene.b0364,gene,ACCESSION-1,genes.dat
G6815,gene.b1541,gene,ACCESSION-1,genes.dat
EG11501,gene.b4117,gene,ACCESSION-1,genes.dat
EG11776,gene.b0686,gene,ACCESSION-1,genes.dat
G7951,gene.b4377,gene,ACCESSION-1,genes.dat
EG10260,gene.b0595,gene,ACCESSION-1,genes.dat
G7030,gene.b1894,gene,ACCESSION-1,genes.dat
EG10463,gene.b0161,gene,ACCESSION-1,genes.dat
G7111,gene.b2072,gene,ACCESSION-1,genes.dat
G7315,gene.b2504,gene,ACCESSION-1,genes.dat
G6979,gene.b1793,gene,ACCESSION-1,genes.dat
EG12712,gene.b2687,gene,ACCESSION-1,genes.dat
G0-16685,gene.b4722,gene,ACCESSION-1,genes.dat
G6291,gene.b0531,gene,ACCESSION-1,genes.dat
G6732,gene.b1413,gene,ACCESSION-1,genes.dat
EG10560,gene.b3417,gene,ACCESSION-1,genes.dat
EG11915,gene.b3998,gene,ACCESSION-1,genes.dat
EG11021,gene.b3849,gene,ACCESSION-1,genes.dat
EG13238,gene.b1993,gene,ACCESSION-1,genes.dat
EG11327,gene.b0336,gene,ACCESSION-1,genes.dat
EG11005,gene.b3708,gene,ACCESSION-1,genes.dat
G6851,gene.b1593,gene,ACCESSION-1,genes.dat
EG11135,gene.b1768,gene,ACCESSION-1,genes.dat
G6480,gene.b0938,gene,ACCESSION-1,genes.dat
G7200,gene.b2325,gene,ACCESSION-1,genes.dat
G6625,gene.b1196,gene,ACCESSION-1,genes.dat
G7263,gene.b2428,gene,ACCESSION-1,genes.dat
EG10731,gene.b1130,gene,ACCESSION-1,genes.dat
EG12870,gene.b1322,gene,ACCESSION-1,genes.dat
EG10901,gene.b0169,gene,ACCESSION-1,genes.dat
G0-10601,gene.b4610,gene,ACCESSION-1,genes.dat
G7309,gene.b2492,gene,ACCESSION-1,genes.dat
G7255,gene.b2394,gene,ACCESSION-1,genes.dat
EG12107,gene.b0108,gene,ACCESSION-1,genes.dat
EG12277,gene.b3573,gene,ACCESSION-1,genes.dat
EG10448,gene.b2025,gene,ACCESSION-1,genes.dat
EG11141,gene.b1959,gene,ACCESSION-1,genes.dat
EG12368,gene.b1859,gene,ACCESSION-1,genes.dat
G6147,gene.b0276,gene,ACCESSION-1,genes.dat
EG11274,gene.b1265,gene,ACCESSION-1,genes.dat
EG12270,gene.b3550,gene,ACCESSION-1,genes.dat
EG11970,gene.b3293,gene,ACCESSION-1,genes.dat
EG11910,gene.b3951,gene,ACCESSION-1,genes.dat
EG12231,gene.b3494,gene,ACCESSION-1,genes.dat
G6146,gene.b0275,gene,ACCESSION-1,genes.dat
EG10750,gene.b1125,gene,ACCESSION-1,genes.dat
G6575,gene.b1118,gene,ACCESSION-1,genes.dat
EG30051,gene.b4368,gene,ACCESSION-1,genes.dat
EG10690,gene.b0143,gene,ACCESSION-1,genes.dat
EG11253,gene.b0925,gene,ACCESSION-1,genes.dat
G0-8875,gene.b4459,gene,ACCESSION-1,genes.dat
EG11198,gene.b3730,gene,ACCESSION-1,genes.dat
EG12615,gene.b0995,gene,ACCESSION-1,genes.dat
EG12124,gene.b2309,gene,ACCESSION-1,genes.dat
EG10030,gene.b1623,gene,ACCESSION-1,genes.dat
G7232,gene.b2363,gene,ACCESSION-1,genes.dat
G7311,gene.b2494,gene,ACCESSION-1,genes.dat
G81,gene.b3092,gene,ACCESSION-1,genes.dat
EG10834,gene.b0472,gene,ACCESSION-1,genes.dat
EG10161,gene.b2049,gene,ACCESSION-1,genes.dat
EG12171,gene.b4380,gene,ACCESSION-1,genes.dat
EG11936,gene.b4057,gene,ACCESSION-1,genes.dat
EG11917,gene.b4001,gene,ACCESSION-1,genes.dat
EG11495,gene.b3511,gene,ACCESSION-1,genes.dat
EG11013,gene.b1274,gene,ACCESSION-1,genes.dat
G7882,gene.b4251,gene,ACCESSION-1,genes.dat
G6329,gene.b0600,gene,ACCESSION-1,genes.dat
EG12142,gene.b2796,gene,ACCESSION-1,genes.dat
G6762,gene.b1451,gene,ACCESSION-1,genes.dat
G6500,gene.b0966,gene,ACCESSION-1,genes.dat
EG10423,gene.b2231,gene,ACCESSION-1,genes.dat
G7304,gene.b2487,gene,ACCESSION-1,genes.dat
G7629,gene.b3130,gene,ACCESSION-1,genes.dat
EG12697,gene.b2895,gene,ACCESSION-1,genes.dat
G7707,gene.b3329,gene,ACCESSION-1,genes.dat
G0-16744,gene.b4750,gene,ACCESSION-1,genes.dat
EG12212,gene.b3466,gene,ACCESSION-1,genes.dat
G6099,gene.b0212,gene,ACCESSION-1,genes.dat
G6746,gene.b1435,gene,ACCESSION-1,genes.dat
G6468,gene.b0905,gene,ACCESSION-1,genes.dat
G6251,gene.b0454,gene,ACCESSION-1,genes.dat
EG12517,gene.b4227,gene,ACCESSION-1,genes.dat
G7685,gene.b3240,gene,ACCESSION-1,genes.dat
EG10570,gene.b0168,gene,ACCESSION-1,genes.dat
EG10395,gene.b3425,gene,ACCESSION-1,genes.dat
EG11823,gene.b2435,gene,ACCESSION-1,genes.dat
G7448,gene.b2790,gene,ACCESSION-1,genes.dat
EG12337,gene.b0164,gene,ACCESSION-1,genes.dat
EG10959,gene.b2938,gene,ACCESSION-1,genes.dat
EG11681,gene.b3203,gene,ACCESSION-1,genes.dat
EG10540,gene.b3458,gene,ACCESSION-1,genes.dat
G6096,gene.b0188,gene,ACCESSION-1,genes.dat
G7827,gene.b4125,gene,ACCESSION-1,genes.dat
G6433,gene.b0833,gene,ACCESSION-1,genes.dat
EG10800,gene.b1658,gene,ACCESSION-1,genes.dat
EG10660,gene.b2234,gene,ACCESSION-1,genes.dat
G7953,gene.b4379,gene,ACCESSION-1,genes.dat
G6676,gene.b1345,gene,ACCESSION-1,genes.dat
EG11988,gene.b2109,gene,ACCESSION-1,genes.dat
EG10049,gene.b0980,gene,ACCESSION-1,genes.dat
EG12376,gene.b2410,gene,ACCESSION-1,genes.dat
EG11381,gene.b3049,gene,ACCESSION-1,genes.dat
EG11987,gene.b2108,gene,ACCESSION-1,genes.dat
EG11219,gene.b1419,gene,ACCESSION-1,genes.dat
EG10721,gene.b4096,gene,ACCESSION-1,genes.dat
EG11754,gene.b0070,gene,ACCESSION-1,genes.dat
G7281,gene.b2451,gene,ACCESSION-1,genes.dat
G7555,gene.b2998,gene,ACCESSION-1,genes.dat
EG10505,gene.b3168,gene,ACCESSION-1,genes.dat
G6806,gene.b1519,gene,ACCESSION-1,genes.dat
EG10292,gene.b4292,gene,ACCESSION-1,genes.dat
G6859,gene.b1601,gene,ACCESSION-1,genes.dat
EG11966,gene.b4116,gene,ACCESSION-1,genes.dat
EG11864,gene.b3900,gene,ACCESSION-1,genes.dat
EG30031,gene.b0664,gene,ACCESSION-1,genes.dat
EG11204,gene.b3967,gene,ACCESSION-1,genes.dat
EG12232,gene.b3496,gene,ACCESSION-1,genes.dat
EG11825,gene.b1464,gene,ACCESSION-1,genes.dat
G7640,gene.b3145,gene,ACCESSION-1,genes.dat
G7578,gene.b3031,gene,ACCESSION-1,genes.dat
G0-8876,gene.b4430,gene,ACCESSION-1,genes.dat
G7033,gene.b1902,gene,ACCESSION-1,genes.dat
G6093,gene.b0177,gene,ACCESSION-1,genes.dat
G6528,gene.b1021,gene,ACCESSION-1,genes.dat
G7486,gene.b2867,gene,ACCESSION-1,genes.dat
G7938,gene.b4342,gene,ACCESSION-1,genes.dat
G6451,gene.b0866,gene,ACCESSION-1,genes.dat
EG12329,gene.b0148,gene,ACCESSION-1,genes.dat
G6932,gene.b1727,gene,ACCESSION-1,genes.dat
G6782,gene.b1488,gene,ACCESSION-1,genes.dat
EG11433,gene.b4219,gene,ACCESSION-1,genes.dat
EG12739,gene.b3094,gene,ACCESSION-1,genes.dat
EG10080,gene.b1704,gene,ACCESSION-1,genes.dat
G6237,gene.b0420,gene,ACCESSION-1,genes.dat
G6554,gene.b1057,gene,ACCESSION-1,genes.dat
EG11147,gene.b2471,gene,ACCESSION-1,genes.dat
G7910,gene.b4297,gene,ACCESSION-1,genes.dat
EG11268,gene.b3288,gene,ACCESSION-1,genes.dat
EG10802,gene.b1015,gene,ACCESSION-1,genes.dat
EG10460,gene.b4348,gene,ACCESSION-1,genes.dat
G7747,gene.b3413,gene,ACCESSION-1,genes.dat
EG11874,gene.b3920,gene,ACCESSION-1,genes.dat
EG10447,gene.b2020,gene,ACCESSION-1,genes.dat
EG12134,gene.b0813,gene,ACCESSION-1,genes.dat
G7031,gene.b1895,gene,ACCESSION-1,genes.dat
EG12225,gene.b3488,gene,ACCESSION-1,genes.dat
G0-17040,gene.b4794,gene,ACCESSION-1,genes.dat
EG30021,gene.b1986,gene,ACCESSION-1,genes.dat
G0-17105,gene.b4830,gene,ACCESSION-1,genes.dat
G7456,gene.b2812,gene,ACCESSION-1,genes.dat
EG10066,gene.b3359,gene,ACCESSION-1,genes.dat
G6378,gene.b0709,gene,ACCESSION-1,genes.dat
G7526,gene.b2950,gene,ACCESSION-1,genes.dat
EG10085,gene.b2716,gene,ACCESSION-1,genes.dat
G6812,gene.b1526,gene,ACCESSION-1,genes.dat
EG10565,gene.b0403,gene,ACCESSION-1,genes.dat
EG10665,gene.b3169,gene,ACCESSION-1,genes.dat
EG10461,gene.b0473,gene,ACCESSION-1,genes.dat
EG30088,gene.b4007,gene,ACCESSION-1,genes.dat
G7019,gene.b1869,gene,ACCESSION-1,genes.dat
EG12219,gene.b3473,gene,ACCESSION-1,genes.dat
G6611,gene.b1171,gene,ACCESSION-1,genes.dat
G7305,gene.b2488,gene,ACCESSION-1,genes.dat
G7733,gene.b3381,gene,ACCESSION-1,genes.dat
G0-17026,gene.b4780,gene,ACCESSION-1,genes.dat
EG11180,gene.b3291,gene,ACCESSION-1,genes.dat
G7571,gene.b3021,gene,ACCESSION-1,genes.dat
EG10654,gene.b3367,gene,ACCESSION-1,genes.dat
EG30076,gene.b0205,gene,ACCESSION-1,genes.dat
EG10353,gene.b2805,gene,ACCESSION-1,genes.dat
EG12689,gene.b1050,gene,ACCESSION-1,genes.dat
G6123,gene.b0248,gene,ACCESSION-1,genes.dat
EG12319,gene.b0126,gene,ACCESSION-1,genes.dat
EG10289,gene.b4288,gene,ACCESSION-1,genes.dat
EG11869,gene.b3909,gene,ACCESSION-1,genes.dat
EG11190,gene.b3634,gene,ACCESSION-1,genes.dat
G6959,gene.b1772,gene,ACCESSION-1,genes.dat
G0-17038,gene.b4792,gene,ACCESSION-1,genes.dat
G6423,gene.b0820,gene,ACCESSION-1,genes.dat
EG11622,gene.b0449,gene,ACCESSION-1,genes.dat
EG10883,gene.b3318,gene,ACCESSION-1,genes.dat
G7814,gene.b3875,gene,ACCESSION-1,genes.dat
G6248,gene.b0448,gene,ACCESSION-1,genes.dat
G7457,gene.b2813,gene,ACCESSION-1,genes.dat
G0-9608,gene.b4424,gene,ACCESSION-1,genes.dat
G7825,gene.b4121,gene,ACCESSION-1,genes.dat
EG11580,gene.b0800,gene,ACCESSION-1,genes.dat
G7083,gene.b2003,gene,ACCESSION-1,genes.dat
EG11857,gene.b3893,gene,ACCESSION-1,genes.dat
G6317,gene.b0563,gene,ACCESSION-1,genes.dat
G6193,gene.b0328,gene,ACCESSION-1,genes.dat
EG10356,gene.b1612,gene,ACCESSION-1,genes.dat
EG11801,gene.b2994,gene,ACCESSION-1,genes.dat
G6887,gene.b1647,gene,ACCESSION-1,genes.dat
EG12283,gene.b3579,gene,ACCESSION-1,genes.dat
G0-8891,gene.b4595,gene,ACCESSION-1,genes.dat
EG11043,gene.b1637,gene,ACCESSION-1,genes.dat
EG10957,gene.b4063,gene,ACCESSION-1,genes.dat
