source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
gene.b0286,encodes,protein.P77165,directed,database,EcoCyc,G6157,EcoCyc gene PRODUCT
gene.b2650,encodes,protein.P76613,directed,database,EcoCyc,G7385,EcoCyc gene PRODUCT
gene.b1929,encodes,protein.P31064,directed,database,EcoCyc,EG11660,EcoCyc gene PRODUCT
gene.b3216,encodes,protein.P45420,directed,database,EcoCyc,G7670,EcoCyc gene PRODUCT
gene.b2616,encodes,protein.P05824,directed,database,EcoCyc,EG10831,EcoCyc gene PRODUCT
gene.b0786,encodes,protein.P0AAC4,directed,database,EcoCyc,G6403,EcoCyc gene PRODUCT
gene.b2383,encodes,protein.P77439,directed,database,EcoCyc,G7246,EcoCyc gene PRODUCT
gene.b0115,encodes,protein.P06959,directed,database,EcoCyc,EG10025,EcoCyc gene PRODUCT
gene.b4151,encodes,protein.P0A8Q3,directed,database,EcoCyc,EG10333,EcoCyc gene PRODUCT
gene.b4051,encodes,protein.P28304,directed,database,EcoCyc,EG11492,EcoCyc gene PRODUCT
gene.b0129,encodes,protein.P36881,directed,database,EcoCyc,EG12322,EcoCyc gene PRODUCT
gene.b0192,encodes,protein.P40710,directed,database,EcoCyc,EG12137,EcoCyc gene PRODUCT
gene.b1064,encodes,protein.P0AC59,directed,database,EcoCyc,EG12688,EcoCyc gene PRODUCT
gene.b0176,encodes,protein.P0AEH1,directed,database,EcoCyc,EG12436,EcoCyc gene PRODUCT
gene.b1279,encodes,protein.P0ACV4,directed,database,EcoCyc,G6637,EcoCyc gene PRODUCT
gene.b0991,encodes,protein.P0AAA5,directed,database,EcoCyc,G6512,EcoCyc gene PRODUCT
gene.b2776,encodes,protein.P55138,directed,database,EcoCyc,G7442,EcoCyc gene PRODUCT
gene.b3214,encodes,protein.P28721,directed,database,EcoCyc,EG11514,EcoCyc gene PRODUCT
gene.b4455,encodes,protein.P37305,directed,database,EcoCyc,G0-9613,EcoCyc gene PRODUCT
gene.b1233,encodes,protein.P37052,directed,database,EcoCyc,EG12119,EcoCyc gene PRODUCT
gene.b1784,encodes,protein.P76235,directed,database,EcoCyc,G6970,EcoCyc gene PRODUCT
gene.b0582,encodes,protein.P0CF92,directed,database,EcoCyc,G6327,EcoCyc gene PRODUCT
gene.b1507,encodes,protein.P23874,directed,database,EcoCyc,EG10443,EcoCyc gene PRODUCT
gene.b2457,encodes,protein.P0ABF4,directed,database,EcoCyc,G7287,EcoCyc gene PRODUCT
gene.b1833,encodes,protein.P0AD03,directed,database,EcoCyc,G7006,EcoCyc gene PRODUCT
gene.b3744,encodes,protein.P00963,directed,database,EcoCyc,EG10091,EcoCyc gene PRODUCT
gene.b2765,encodes,protein.P65870,directed,database,EcoCyc,G7431,EcoCyc gene PRODUCT
gene.b0047,encodes,protein.P03819,directed,database,EcoCyc,EG10521,EcoCyc gene PRODUCT
gene.b3342,encodes,protein.P0A7S3,directed,database,EcoCyc,EG10911,EcoCyc gene PRODUCT
gene.b0242,encodes,protein.P0A7B5,directed,database,EcoCyc,EG10768,EcoCyc gene PRODUCT
gene.b1945,encodes,protein.P06974,directed,database,EcoCyc,EG10323,EcoCyc gene PRODUCT
gene.b4359,encodes,protein.P39401,directed,database,EcoCyc,EG12591,EcoCyc gene PRODUCT
gene.b1814,encodes,protein.P16095,directed,database,EcoCyc,EG10930,EcoCyc gene PRODUCT
gene.b0109,encodes,protein.P30011,directed,database,EcoCyc,EG11546,EcoCyc gene PRODUCT
gene.b0956,encodes,protein.P0A8N0,directed,database,EcoCyc,EG12855,EcoCyc gene PRODUCT
gene.b2997,encodes,protein.P69741,directed,database,EcoCyc,G7554,EcoCyc gene PRODUCT
gene.b1333,encodes,protein.P0AAC0,directed,database,EcoCyc,EG11246,EcoCyc gene PRODUCT
gene.b3421,encodes,protein.P46850,directed,database,EcoCyc,G7751,EcoCyc gene PRODUCT
gene.b4034,encodes,protein.P0AEX9,directed,database,EcoCyc,EG10554,EcoCyc gene PRODUCT
gene.b0269,encodes,protein.P77596,directed,database,EcoCyc,G6141,EcoCyc gene PRODUCT
gene.b3418,encodes,protein.P06993,directed,database,EcoCyc,EG10562,EcoCyc gene PRODUCT
gene.b2395,encodes,protein.P23842,directed,database,EcoCyc,EG11145,EcoCyc gene PRODUCT
gene.b3252,encodes,protein.P13518,directed,database,EcoCyc,EG10018,EcoCyc gene PRODUCT
gene.b0678,encodes,protein.P0A759,directed,database,EcoCyc,EG10633,EcoCyc gene PRODUCT
gene.b4469,encodes,protein.Q46861,directed,database,EcoCyc,G7568,EcoCyc gene PRODUCT
gene.b4311,encodes,protein.P69856,directed,database,EcoCyc,G7921,EcoCyc gene PRODUCT
gene.b3354,encodes,protein.P67624,directed,database,EcoCyc,G7719,EcoCyc gene PRODUCT
gene.b3181,encodes,protein.P0A6W5,directed,database,EcoCyc,EG10415,EcoCyc gene PRODUCT
gene.b0967,encodes,protein.P75876,directed,database,EcoCyc,G6501,EcoCyc gene PRODUCT
gene.b0556,encodes,protein.P75719,directed,database,EcoCyc,G6311,EcoCyc gene PRODUCT
gene.b3651,encodes,protein.P0AGJ2,directed,database,EcoCyc,EG10967,EcoCyc gene PRODUCT
gene.b3512,encodes,protein.P63204,directed,database,EcoCyc,EG11544,EcoCyc gene PRODUCT
gene.b3941,encodes,protein.P0AEZ1,directed,database,EcoCyc,EG10585,EcoCyc gene PRODUCT
gene.b2136,encodes,protein.P33366,directed,database,EcoCyc,EG12017,EcoCyc gene PRODUCT
gene.b1166,encodes,protein.P75993,directed,database,EcoCyc,G6606,EcoCyc gene PRODUCT
gene.b4428,encodes,protein.P77494,directed,database,EcoCyc,G0-9610,EcoCyc gene PRODUCT
gene.b2789,encodes,protein.Q46916,directed,database,EcoCyc,G7447,EcoCyc gene PRODUCT
gene.b2124,encodes,protein.P33355,directed,database,EcoCyc,EG12005,EcoCyc gene PRODUCT
gene.b3606,encodes,protein.P0AGJ7,directed,database,EcoCyc,EG11888,EcoCyc gene PRODUCT
gene.b1708,encodes,protein.P23898,directed,database,EcoCyc,EG11133,EcoCyc gene PRODUCT
gene.b4175,encodes,protein.P0ABC3,directed,database,EcoCyc,EG10435,EcoCyc gene PRODUCT
gene.b2638,encodes,protein.P0CF86,directed,database,EcoCyc,G7373,EcoCyc gene PRODUCT
gene.b3935,encodes,protein.P17888,directed,database,EcoCyc,EG10763,EcoCyc gene PRODUCT
gene.b2271,encodes,protein.P76482,directed,database,EcoCyc,G7178,EcoCyc gene PRODUCT
gene.b1090,encodes,protein.P27247,directed,database,EcoCyc,EG11437,EcoCyc gene PRODUCT
gene.b1897,encodes,protein.P31678,directed,database,EcoCyc,EG11752,EcoCyc gene PRODUCT
gene.b4056,encodes,protein.P0AF48,directed,database,EcoCyc,EG11935,EcoCyc gene PRODUCT
gene.b1554,encodes,protein.P76159,directed,database,EcoCyc,G6827,EcoCyc gene PRODUCT
gene.b0285,encodes,protein.P77324,directed,database,EcoCyc,G6156,EcoCyc gene PRODUCT
gene.b0568,encodes,protein.P31600,directed,database,EcoCyc,EG11740,EcoCyc gene PRODUCT
gene.b3312,encodes,protein.P0A7M6,directed,database,EcoCyc,EG10887,EcoCyc gene PRODUCT
gene.b0155,encodes,protein.P37019,directed,database,EcoCyc,EG12331,EcoCyc gene PRODUCT
gene.b0197,encodes,protein.P28635,directed,database,EcoCyc,EG11504,EcoCyc gene PRODUCT
gene.b3960,encodes,protein.P11447,directed,database,EcoCyc,EG11223,EcoCyc gene PRODUCT
gene.b3020,encodes,protein.Q46863,directed,database,EcoCyc,G7570,EcoCyc gene PRODUCT
gene.b2407,encodes,protein.P45563,directed,database,EcoCyc,G85,EcoCyc gene PRODUCT
gene.b4266,encodes,protein.P0A9P9,directed,database,EcoCyc,G7892,EcoCyc gene PRODUCT
gene.b4066,encodes,protein.P32704,directed,database,EcoCyc,EG11941,EcoCyc gene PRODUCT
gene.b3355,encodes,protein.P0AEX5,directed,database,EcoCyc,EG12365,EcoCyc gene PRODUCT
gene.b2151,encodes,protein.P25748,directed,database,EcoCyc,EG10365,EcoCyc gene PRODUCT
gene.b1484,encodes,protein.P77268,directed,database,EcoCyc,G6778,EcoCyc gene PRODUCT
gene.b3609,encodes,protein.P0AG86,directed,database,EcoCyc,EG10937,EcoCyc gene PRODUCT
gene.b2248,encodes,protein.P77732,directed,database,EcoCyc,G7161,EcoCyc gene PRODUCT
gene.b3735,encodes,protein.P0ABA4,directed,database,EcoCyc,EG10105,EcoCyc gene PRODUCT
gene.b1676,encodes,protein.P0AD61,directed,database,EcoCyc,EG10804,EcoCyc gene PRODUCT
gene.b4332,encodes,protein.P39381,directed,database,EcoCyc,G7929,EcoCyc gene PRODUCT
gene.b2524,encodes,protein.P0C0L9,directed,database,EcoCyc,EG12311,EcoCyc gene PRODUCT
gene.b3271,encodes,protein.P45769,directed,database,EcoCyc,EG12837,EcoCyc gene PRODUCT
gene.b3403,encodes,protein.P22259,directed,database,EcoCyc,EG10688,EcoCyc gene PRODUCT
gene.b2285,encodes,protein.P0AFD1,directed,database,EcoCyc,EG12086,EcoCyc gene PRODUCT
gene.b4154,encodes,protein.P00363,directed,database,EcoCyc,EG10330,EcoCyc gene PRODUCT
gene.b1792,encodes,protein.P76243,directed,database,EcoCyc,G6978,EcoCyc gene PRODUCT
gene.b0227,encodes,protein.Q47151,directed,database,EcoCyc,G6111,EcoCyc gene PRODUCT
gene.b3784,encodes,protein.P0AC78,directed,database,EcoCyc,EG10840,EcoCyc gene PRODUCT
gene.b1683,encodes,protein.P77522,directed,database,EcoCyc,G6909,EcoCyc gene PRODUCT
gene.b3468,encodes,protein.P0ADI9,directed,database,EcoCyc,EG12214,EcoCyc gene PRODUCT
gene.b0364,encodes,protein.P71311,directed,database,EcoCyc,G6216,EcoCyc gene PRODUCT
gene.b1541,encodes,protein.P64463,directed,database,EcoCyc,G6815,EcoCyc gene PRODUCT
gene.b4117,encodes,protein.P28629,directed,database,EcoCyc,EG11501,EcoCyc gene PRODUCT
gene.b0686,encodes,protein.P75736,directed,database,EcoCyc,EG11776,EcoCyc gene PRODUCT
gene.b4377,encodes,protein.P39407,directed,database,EcoCyc,G7951,EcoCyc gene PRODUCT
gene.b0595,encodes,protein.P0ADI4,directed,database,EcoCyc,EG10260,EcoCyc gene PRODUCT
gene.b1894,encodes,protein.P0CF11,directed,database,EcoCyc,G7030,EcoCyc gene PRODUCT
gene.b0161,encodes,protein.P0C0V0,directed,database,EcoCyc,EG10463,EcoCyc gene PRODUCT
gene.b2072,encodes,protein.P76395,directed,database,EcoCyc,G7111,EcoCyc gene PRODUCT
gene.b2504,encodes,protein.P64545,directed,database,EcoCyc,G7315,EcoCyc gene PRODUCT
gene.b1793,encodes,protein.P64493,directed,database,EcoCyc,G6979,EcoCyc gene PRODUCT
gene.b2687,encodes,protein.P45578,directed,database,EcoCyc,EG12712,EcoCyc gene PRODUCT
gene.b4722,encodes,protein.P0DPC6,directed,database,EcoCyc,G0-16685,EcoCyc gene PRODUCT
gene.b0531,encodes,protein.P77249,directed,database,EcoCyc,G6291,EcoCyc gene PRODUCT
gene.b1413,encodes,protein.P43329,directed,database,EcoCyc,G6732,EcoCyc gene PRODUCT
gene.b3417,encodes,protein.P00490,directed,database,EcoCyc,EG10560,EcoCyc gene PRODUCT
gene.b3998,encodes,protein.P68739,directed,database,EcoCyc,EG11915,EcoCyc gene PRODUCT
gene.b3849,encodes,protein.P0AFZ7,directed,database,EcoCyc,EG11021,EcoCyc gene PRODUCT
gene.b1993,encodes,protein.P0AE76,directed,database,EcoCyc,EG13238,EcoCyc gene PRODUCT
gene.b0336,encodes,protein.P0AA82,directed,database,EcoCyc,EG11327,EcoCyc gene PRODUCT
gene.b3708,encodes,protein.P0A853,directed,database,EcoCyc,EG11005,EcoCyc gene PRODUCT
gene.b1593,encodes,protein.P0A6E9,directed,database,EcoCyc,G6851,EcoCyc gene PRODUCT
gene.b1768,encodes,protein.P21369,directed,database,EcoCyc,EG11135,EcoCyc gene PRODUCT
gene.b0938,encodes,protein.P75855,directed,database,EcoCyc,G6480,EcoCyc gene PRODUCT
gene.b2325,encodes,protein.P64540,directed,database,EcoCyc,G7200,EcoCyc gene PRODUCT
gene.b1196,encodes,protein.P76012,directed,database,EcoCyc,G6625,EcoCyc gene PRODUCT
gene.b2428,encodes,protein.P76535,directed,database,EcoCyc,G7263,EcoCyc gene PRODUCT
gene.b1130,encodes,protein.P23836,directed,database,EcoCyc,EG10731,EcoCyc gene PRODUCT
gene.b1322,encodes,protein.P0A8R7,directed,database,EcoCyc,EG12870,EcoCyc gene PRODUCT
gene.b0169,encodes,protein.P0A7V0,directed,database,EcoCyc,EG10901,EcoCyc gene PRODUCT
gene.b4610,encodes,protein.A0A385XJL2,directed,database,EcoCyc,G0-10601,EcoCyc gene PRODUCT
gene.b2492,encodes,protein.P77733,directed,database,EcoCyc,G7309,EcoCyc gene PRODUCT
gene.b2394,encodes,protein.P0CF93,directed,database,EcoCyc,G7255,EcoCyc gene PRODUCT
gene.b0108,encodes,protein.P36647,directed,database,EcoCyc,EG12107,EcoCyc gene PRODUCT
gene.b3573,encodes,protein.P56256,directed,database,EcoCyc,EG12277,EcoCyc gene PRODUCT
gene.b2025,encodes,protein.P60664,directed,database,EcoCyc,EG10448,EcoCyc gene PRODUCT
gene.b1959,encodes,protein.P0AA70,directed,database,EcoCyc,EG11141,EcoCyc gene PRODUCT
gene.b1859,encodes,protein.P39832,directed,database,EcoCyc,EG12368,EcoCyc gene PRODUCT
gene.b0276,encodes,protein.P77169,directed,database,EcoCyc,G6147,EcoCyc gene PRODUCT
gene.b1265,encodes,protein.P0AD92,directed,database,EcoCyc,EG11274,EcoCyc gene PRODUCT
gene.b3550,encodes,protein.P37664,directed,database,EcoCyc,EG12270,EcoCyc gene PRODUCT
gene.b3293,encodes,protein.P36677,directed,database,EcoCyc,EG11970,EcoCyc gene PRODUCT
gene.b3951,encodes,protein.P32674,directed,database,EcoCyc,EG11910,EcoCyc gene PRODUCT
gene.b3494,encodes,protein.P0A8S5,directed,database,EcoCyc,EG12231,EcoCyc gene PRODUCT
gene.b0275,encodes,protein.P0CF09,directed,database,EcoCyc,G6146,EcoCyc gene PRODUCT
gene.b1125,encodes,protein.P0AFK4,directed,database,EcoCyc,EG10750,EcoCyc gene PRODUCT
gene.b1118,encodes,protein.P75958,directed,database,EcoCyc,G6575,EcoCyc gene PRODUCT
gene.b0143,encodes,protein.P0ABF1,directed,database,EcoCyc,EG10690,EcoCyc gene PRODUCT
gene.b0925,encodes,protein.P22525,directed,database,EcoCyc,EG11253,EcoCyc gene PRODUCT
gene.b3730,encodes,protein.P0ACC7,directed,database,EcoCyc,EG11198,EcoCyc gene PRODUCT
gene.b0995,encodes,protein.P38684,directed,database,EcoCyc,EG12615,EcoCyc gene PRODUCT
gene.b2309,encodes,protein.P0AEU0,directed,database,EcoCyc,EG12124,EcoCyc gene PRODUCT
gene.b1623,encodes,protein.P22333,directed,database,EcoCyc,EG10030,EcoCyc gene PRODUCT
gene.b2363,encodes,protein.P76516,directed,database,EcoCyc,G7232,EcoCyc gene PRODUCT
gene.b2494,encodes,protein.P66948,directed,database,EcoCyc,G7311,EcoCyc gene PRODUCT
gene.b3092,encodes,protein.P0A8G3,directed,database,EcoCyc,G81,EcoCyc gene PRODUCT
gene.b0472,encodes,protein.P0A7H6,directed,database,EcoCyc,EG10834,EcoCyc gene PRODUCT
gene.b2049,encodes,protein.P24174,directed,database,EcoCyc,EG10161,EcoCyc gene PRODUCT
gene.b4380,encodes,protein.P37342,directed,database,EcoCyc,EG12171,EcoCyc gene PRODUCT
gene.b4057,encodes,protein.P0AF50,directed,database,EcoCyc,EG11936,EcoCyc gene PRODUCT
gene.b4001,encodes,protein.P32681,directed,database,EcoCyc,EG11917,EcoCyc gene PRODUCT
gene.b3511,encodes,protein.P0AET5,directed,database,EcoCyc,EG11495,EcoCyc gene PRODUCT
gene.b1274,encodes,protein.P06612,directed,database,EcoCyc,EG11013,EcoCyc gene PRODUCT
gene.b4251,encodes,protein.P39334,directed,database,EcoCyc,G7882,EcoCyc gene PRODUCT
gene.b0600,encodes,protein.P77806,directed,database,EcoCyc,G6329,EcoCyc gene PRODUCT
gene.b2796,encodes,protein.P0AAD6,directed,database,EcoCyc,EG12142,EcoCyc gene PRODUCT
gene.b1451,encodes,protein.P76115,directed,database,EcoCyc,G6762,EcoCyc gene PRODUCT
gene.b0966,encodes,protein.P0AB20,directed,database,EcoCyc,G6500,EcoCyc gene PRODUCT
gene.b2231,encodes,protein.P0AES4,directed,database,EcoCyc,EG10423,EcoCyc gene PRODUCT
gene.b2487,encodes,protein.P77329,directed,database,EcoCyc,G7304,EcoCyc gene PRODUCT
gene.b3130,encodes,protein.P64594,directed,database,EcoCyc,G7629,EcoCyc gene PRODUCT
gene.b2895,encodes,protein.P0ABY4,directed,database,EcoCyc,EG12697,EcoCyc gene PRODUCT
gene.b3329,encodes,protein.P41443,directed,database,EcoCyc,G7707,EcoCyc gene PRODUCT
gene.b4750,encodes,protein.P0DPP0,directed,database,EcoCyc,G0-16744,EcoCyc gene PRODUCT
gene.b3466,encodes,protein.P37614,directed,database,EcoCyc,EG12212,EcoCyc gene PRODUCT
gene.b0212,encodes,protein.P0AC84,directed,database,EcoCyc,G6099,EcoCyc gene PRODUCT
gene.b1435,encodes,protein.P76104,directed,database,EcoCyc,G6746,EcoCyc gene PRODUCT
gene.b0905,encodes,protein.P75838,directed,database,EcoCyc,G6468,EcoCyc gene PRODUCT
gene.b0454,encodes,protein.P0AFP2,directed,database,EcoCyc,G6251,EcoCyc gene PRODUCT
gene.b4227,encodes,protein.P39325,directed,database,EcoCyc,EG12517,EcoCyc gene PRODUCT
gene.b3240,encodes,protein.P46481,directed,database,EcoCyc,G7685,EcoCyc gene PRODUCT
gene.b0168,encodes,protein.P0AE18,directed,database,EcoCyc,EG10570,EcoCyc gene PRODUCT
gene.b3425,encodes,protein.P0A6V5,directed,database,EcoCyc,EG10395,EcoCyc gene PRODUCT
gene.b2435,encodes,protein.P36548,directed,database,EcoCyc,EG11823,EcoCyc gene PRODUCT
gene.b2790,encodes,protein.P65367,directed,database,EcoCyc,G7448,EcoCyc gene PRODUCT
gene.b0164,encodes,protein.P37049,directed,database,EcoCyc,EG12337,EcoCyc gene PRODUCT
gene.b2938,encodes,protein.P21170,directed,database,EcoCyc,EG10959,EcoCyc gene PRODUCT
gene.b3203,encodes,protein.P0AFX0,directed,database,EcoCyc,EG11681,EcoCyc gene PRODUCT
gene.b3458,encodes,protein.P04816,directed,database,EcoCyc,EG10540,EcoCyc gene PRODUCT
gene.b0188,encodes,protein.P52097,directed,database,EcoCyc,G6096,EcoCyc gene PRODUCT
gene.b4125,encodes,protein.P0AEC8,directed,database,EcoCyc,G7827,EcoCyc gene PRODUCT
gene.b0833,encodes,protein.P75800,directed,database,EcoCyc,G6433,EcoCyc gene PRODUCT
gene.b1658,encodes,protein.P0ACP7,directed,database,EcoCyc,EG10800,EcoCyc gene PRODUCT
gene.b2234,encodes,protein.P00452,directed,database,EcoCyc,EG10660,EcoCyc gene PRODUCT
gene.b4379,encodes,protein.P39409,directed,database,EcoCyc,G7953,EcoCyc gene PRODUCT
gene.b1345,encodes,protein.P76056,directed,database,EcoCyc,G6676,EcoCyc gene PRODUCT
gene.b2109,encodes,protein.P33341,directed,database,EcoCyc,EG11988,EcoCyc gene PRODUCT
gene.b0980,encodes,protein.P07102,directed,database,EcoCyc,EG10049,EcoCyc gene PRODUCT
gene.b2410,encodes,protein.P39836,directed,database,EcoCyc,EG12376,EcoCyc gene PRODUCT
gene.b3049,encodes,protein.P26649,directed,database,EcoCyc,EG11381,EcoCyc gene PRODUCT
gene.b2108,encodes,protein.P33340,directed,database,EcoCyc,EG11987,EcoCyc gene PRODUCT
gene.b1419,encodes,protein.P0ACW4,directed,database,EcoCyc,EG11219,EcoCyc gene PRODUCT
gene.b4096,encodes,protein.P16679,directed,database,EcoCyc,EG10721,EcoCyc gene PRODUCT
gene.b0070,encodes,protein.P31675,directed,database,EcoCyc,EG11754,EcoCyc gene PRODUCT
gene.b2451,encodes,protein.P76551,directed,database,EcoCyc,G7281,EcoCyc gene PRODUCT
gene.b2998,encodes,protein.P64574,directed,database,EcoCyc,G7555,EcoCyc gene PRODUCT
gene.b3168,encodes,protein.P0A705,directed,database,EcoCyc,EG10505,EcoCyc gene PRODUCT
gene.b1519,encodes,protein.P76145,directed,database,EcoCyc,G6806,EcoCyc gene PRODUCT
gene.b4292,encodes,protein.P23485,directed,database,EcoCyc,EG10292,EcoCyc gene PRODUCT
gene.b1601,encodes,protein.P0AFS5,directed,database,EcoCyc,G6859,EcoCyc gene PRODUCT
gene.b4116,encodes,protein.P33234,directed,database,EcoCyc,EG11966,EcoCyc gene PRODUCT
gene.b3900,encodes,protein.P32155,directed,database,EcoCyc,EG11864,EcoCyc gene PRODUCT
gene.b3967,encodes,protein.P22634,directed,database,EcoCyc,EG11204,EcoCyc gene PRODUCT
gene.b3496,encodes,protein.P36837,directed,database,EcoCyc,EG12232,EcoCyc gene PRODUCT
gene.b1464,encodes,protein.P37757,directed,database,EcoCyc,EG11825,EcoCyc gene PRODUCT
gene.b3145,encodes,protein.P43319,directed,database,EcoCyc,G7640,EcoCyc gene PRODUCT
gene.b3031,encodes,protein.P0A8Z7,directed,database,EcoCyc,G7578,EcoCyc gene PRODUCT
gene.b1902,encodes,protein.P0A9A2,directed,database,EcoCyc,G7033,EcoCyc gene PRODUCT
gene.b0177,encodes,protein.P0A940,directed,database,EcoCyc,G6093,EcoCyc gene PRODUCT
gene.b1021,encodes,protein.P69432,directed,database,EcoCyc,G6528,EcoCyc gene PRODUCT
gene.b2867,encodes,protein.Q46800,directed,database,EcoCyc,G7486,EcoCyc gene PRODUCT
gene.b4342,encodes,protein.P39391,directed,database,EcoCyc,G7938,EcoCyc gene PRODUCT
gene.b0866,encodes,protein.P0A8C1,directed,database,EcoCyc,G6451,EcoCyc gene PRODUCT
gene.b0148,encodes,protein.P37024,directed,database,EcoCyc,EG12329,EcoCyc gene PRODUCT
gene.b1727,encodes,protein.P77247,directed,database,EcoCyc,G6932,EcoCyc gene PRODUCT
gene.b1488,encodes,protein.P77790,directed,database,EcoCyc,G6782,EcoCyc gene PRODUCT
gene.b4219,encodes,protein.P0A744,directed,database,EcoCyc,EG11433,EcoCyc gene PRODUCT
gene.b3094,encodes,protein.P0ACL2,directed,database,EcoCyc,EG12739,EcoCyc gene PRODUCT
gene.b1704,encodes,protein.P00887,directed,database,EcoCyc,EG10080,EcoCyc gene PRODUCT
gene.b0420,encodes,protein.P77488,directed,database,EcoCyc,G6237,EcoCyc gene PRODUCT
gene.b1057,encodes,protein.P75925,directed,database,EcoCyc,G6554,EcoCyc gene PRODUCT
gene.b2471,encodes,protein.P24178,directed,database,EcoCyc,EG11147,EcoCyc gene PRODUCT
gene.b4297,encodes,protein.P39358,directed,database,EcoCyc,G7910,EcoCyc gene PRODUCT
gene.b3288,encodes,protein.P23882,directed,database,EcoCyc,EG11268,EcoCyc gene PRODUCT
gene.b1015,encodes,protein.P07117,directed,database,EcoCyc,EG10802,EcoCyc gene PRODUCT
gene.b4348,encodes,protein.P05719,directed,database,EcoCyc,EG10460,EcoCyc gene PRODUCT
gene.b3413,encodes,protein.P46846,directed,database,EcoCyc,G7747,EcoCyc gene PRODUCT
gene.b3920,encodes,protein.P32160,directed,database,EcoCyc,EG11874,EcoCyc gene PRODUCT
gene.b2020,encodes,protein.P06988,directed,database,EcoCyc,EG10447,EcoCyc gene PRODUCT
gene.b0813,encodes,protein.P0AA67,directed,database,EcoCyc,EG12134,EcoCyc gene PRODUCT
gene.b1895,encodes,protein.P46888,directed,database,EcoCyc,G7031,EcoCyc gene PRODUCT
gene.b3488,encodes,protein.P37627,directed,database,EcoCyc,EG12225,EcoCyc gene PRODUCT
gene.b4794,encodes,protein.P0DSH2,directed,database,EcoCyc,G0-17040,EcoCyc gene PRODUCT
gene.b2812,encodes,protein.Q46927,directed,database,EcoCyc,G7456,EcoCyc gene PRODUCT
gene.b3359,encodes,protein.P18335,directed,database,EcoCyc,EG10066,EcoCyc gene PRODUCT
gene.b0709,encodes,protein.P75742,directed,database,EcoCyc,G6378,EcoCyc gene PRODUCT
gene.b2950,encodes,protein.P52052,directed,database,EcoCyc,G7526,EcoCyc gene PRODUCT
gene.b2716,encodes,protein.P24240,directed,database,EcoCyc,EG10085,EcoCyc gene PRODUCT
gene.b1526,encodes,protein.P77309,directed,database,EcoCyc,G6812,EcoCyc gene PRODUCT
gene.b0403,encodes,protein.P21517,directed,database,EcoCyc,EG10565,EcoCyc gene PRODUCT
gene.b3169,encodes,protein.P0AFF6,directed,database,EcoCyc,EG10665,EcoCyc gene PRODUCT
gene.b0473,encodes,protein.P0A6Z3,directed,database,EcoCyc,EG10461,EcoCyc gene PRODUCT
gene.b1869,encodes,protein.P64515,directed,database,EcoCyc,G7019,EcoCyc gene PRODUCT
gene.b3473,encodes,protein.P37621,directed,database,EcoCyc,EG12219,EcoCyc gene PRODUCT
gene.b1171,encodes,protein.P0AB46,directed,database,EcoCyc,G6611,EcoCyc gene PRODUCT
gene.b2488,encodes,protein.P77423,directed,database,EcoCyc,G7305,EcoCyc gene PRODUCT
gene.b3381,encodes,protein.P45550,directed,database,EcoCyc,G7733,EcoCyc gene PRODUCT
gene.b4780,encodes,protein.P0DSF8,directed,database,EcoCyc,G0-17026,EcoCyc gene PRODUCT
gene.b3291,encodes,protein.P0A742,directed,database,EcoCyc,EG11180,EcoCyc gene PRODUCT
gene.b3021,encodes,protein.Q46864,directed,database,EcoCyc,G7571,EcoCyc gene PRODUCT
gene.b3367,encodes,protein.P0AC26,directed,database,EcoCyc,EG10654,EcoCyc gene PRODUCT
gene.b2805,encodes,protein.P0ACK8,directed,database,EcoCyc,EG10353,EcoCyc gene PRODUCT
gene.b1050,encodes,protein.P0AB31,directed,database,EcoCyc,EG12689,EcoCyc gene PRODUCT
gene.b0248,encodes,protein.P75676,directed,database,EcoCyc,G6123,EcoCyc gene PRODUCT
gene.b0126,encodes,protein.P61517,directed,database,EcoCyc,EG12319,EcoCyc gene PRODUCT
gene.b4288,encodes,protein.P15029,directed,database,EcoCyc,EG10289,EcoCyc gene PRODUCT
gene.b3909,encodes,protein.P0A712,directed,database,EcoCyc,EG11869,EcoCyc gene PRODUCT
gene.b3634,encodes,protein.P0A6I6,directed,database,EcoCyc,EG11190,EcoCyc gene PRODUCT
gene.b1772,encodes,protein.P77493,directed,database,EcoCyc,G6959,EcoCyc gene PRODUCT
gene.b4792,encodes,protein.P0DSH0,directed,database,EcoCyc,G0-17038,EcoCyc gene PRODUCT
gene.b0820,encodes,protein.P0A9U3,directed,database,EcoCyc,G6423,EcoCyc gene PRODUCT
gene.b0449,encodes,protein.P0AAG5,directed,database,EcoCyc,EG11622,EcoCyc gene PRODUCT
gene.b3318,encodes,protein.P0ADZ0,directed,database,EcoCyc,EG10883,EcoCyc gene PRODUCT
gene.b3875,encodes,protein.P76773,directed,database,EcoCyc,G7814,EcoCyc gene PRODUCT
gene.b0448,encodes,protein.P77265,directed,database,EcoCyc,G6248,EcoCyc gene PRODUCT
gene.b2813,encodes,protein.P0A935,directed,database,EcoCyc,G7457,EcoCyc gene PRODUCT
gene.b4121,encodes,protein.P39270,directed,database,EcoCyc,G7825,EcoCyc gene PRODUCT
gene.b0800,encodes,protein.P30177,directed,database,EcoCyc,EG11580,EcoCyc gene PRODUCT
gene.b2003,encodes,protein.P64521,directed,database,EcoCyc,G7083,EcoCyc gene PRODUCT
gene.b3893,encodes,protein.P0AAJ5,directed,database,EcoCyc,EG11857,EcoCyc gene PRODUCT
