source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
reaction.ecocyc.TRIOSEPISOMERIZATION-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.GAPOXNPHOSPHN-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PHOSGLYPHOS-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.3PGAREARR-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.2PGADEHYDRAT-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PEPDEPHOS-RXN,participates_in,ecocyc.PWY-5484,directed,database,EcoCyc,PWY-5484,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-7168,participates_in,ecocyc.PWY0-1554,directed,database,EcoCyc,PWY0-1554,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-7349,participates_in,ecocyc.PWY0-1554,directed,database,EcoCyc,PWY0-1554,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-7167,participates_in,ecocyc.PWY0-1554,directed,database,EcoCyc,PWY0-1554,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-7066,participates_in,ecocyc.PWY0-1554,directed,database,EcoCyc,PWY0-1554,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-7067,participates_in,ecocyc.PWY0-1554,directed,database,EcoCyc,PWY0-1554,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-18605,participates_in,ecocyc.PWY0-1585,directed,database,EcoCyc,PWY0-1585,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-18604,participates_in,ecocyc.PWY0-1585,directed,database,EcoCyc,PWY0-1585,EcoCyc pathway REACTION-LIST
reaction.ecocyc.FORMATEDEHYDROG-RXN,participates_in,ecocyc.PWY0-1585,directed,database,EcoCyc,PWY0-1585,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-22554,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-22427,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-22553,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-3201,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-17362,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-17363,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-20,participates_in,ecocyc.PWY-7884,directed,database,EcoCyc,PWY-7884,EcoCyc pathway REACTION-LIST
reaction.ecocyc.ACETOACETYL-COA-TRANSFER-RXN,participates_in,ecocyc.ACETOACETATE-DEG-PWY,directed,database,EcoCyc,ACETOACETATE-DEG-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.ACETYL-COA-ACETYLTRANSFER-RXN,participates_in,ecocyc.ACETOACETATE-DEG-PWY,directed,database,EcoCyc,ACETOACETATE-DEG-PWY,EcoCyc pathway REACTION-LIST
