entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,is_exogenous,family_key,display_name,merged_from,complex_type,is_virtual,components,critical_components,assembly_condition,notes
molecule.ecocyc.Adenine-Nucleotides,small_molecule,an adenine nucleotide,,low,absent|low|medium|high,EcoCyc compound Adenine-Nucleotides,,,EcoCyc,Adenine-Nucleotides,EcoCyc:Adenine-Nucleotides,false,true,sm:name:an adenine nucleotide,an adenine nucleotide,molecule.ecocyc.Adenine-Nucleotides,,,,,,
molecule.ecocyc.Medium-Chain-234-Saturated-acyl-CoAs,small_molecule,"a medium-chain 2,3,4-saturated fatty acyl CoA",,low,absent|low|medium|high,"This class of compounds includes acyl-CoA thioesters in which the fatty acid moiety has between 6 and 12 carbon atoms, and does not contain any double bonds in the 2, 3, and 4 positions.",,,EcoCyc,Medium-Chain-234-Saturated-acyl-CoAs,EcoCyc:Medium-Chain-234-Saturated-acyl-CoAs|SEED:cpd30786|METANETX:MNXM97697,false,true,sm:name:a medium chain 2 3 4 saturated fatty acyl coa,"a medium-chain 2,3,4-saturated fatty acyl CoA",molecule.ecocyc.Medium-Chain-234-Saturated-acyl-CoAs,,,,,,
molecule.ecocyc.2-Hydroxy-carboxylates,small_molecule,a 2-hydroxy carboxylate,a 2-hydroxy carboxylic acid,low,absent|low|medium|high,EcoCyc compound 2-Hydroxy-carboxylates,,,EcoCyc,2-Hydroxy-carboxylates,EcoCyc:2-Hydroxy-carboxylates|SEED:cpd12221|METANETX:MNXM9828|CHEBI:52618|LIGAND-CPD:C02929,false,true,sm:chebi:52618,a 2-hydroxy carboxylate,molecule.ecocyc.2-Hydroxy-carboxylates,,,,,,
molecule.ecocyc.Sugar,small_molecule,a sugar,,low,absent|low|medium|high,"The term sugar is used as a generic name for sweet-tasting, soluble carbohydrates. The term is not a specific chemical definition, but is frequently applied to Monosaccharides monosaccharides and Disaccharides disaccharides. Strictly speaking, sugars, like other carbohydrates, contain only carbon, hydrogen and oxygen atoms. When one or more of those atoms is substituted by an amino group, a sulfhydryl group, or a similar heteroatomic groups, the resulting compound is considered Modified-Sugars.",,,EcoCyc,Sugar,METANETX:MNXM3094|LIGAND-CPD:C11477|EcoCyc:Sugar|EcoCyc:Sugar-Group,false,true,sm:name:a sugar,a sugar,molecule.ecocyc.Sugar|molecule.ecocyc.Sugar-Group,,,,,,
molecule.ecocyc.Deoxynucleoside-Derivatives,small_molecule,a deoxynucleoside derivative,,low,absent|low|medium|high,EcoCyc compound Deoxynucleoside-Derivatives,,,EcoCyc,Deoxynucleoside-Derivatives,EcoCyc:Deoxynucleoside-Derivatives,false,true,sm:name:a deoxynucleoside derivative,a deoxynucleoside derivative,molecule.ecocyc.Deoxynucleoside-Derivatives,,,,,,
molecule.ecocyc.DNA-Cytosines,small_molecule,a cytosine in DNA,,low,absent|low|medium|high,This compound class stands for generic and unspecified DNA cytosines.,,,EcoCyc,DNA-Cytosines,EcoCyc:DNA-Cytosines|SEED:cpd11763|METANETX:MNXM11420|LIGAND-CPD:C00856,false,true,sm:name:a cytosine in dna,a cytosine in DNA,molecule.ecocyc.DNA-Cytosines,,,,,,
molecule.ecocyc.Aliphatic-aldehydes-or-ketones,small_molecule,an aliphatic aldehyde or ketone,,low,absent|low|medium|high,EcoCyc compound Aliphatic-aldehydes-or-ketones,,,EcoCyc,Aliphatic-aldehydes-or-ketones,EcoCyc:Aliphatic-aldehydes-or-ketones|SEED:cpd22332|METANETX:MNXM15797,false,true,sm:name:an aliphatic aldehyde or ketone,an aliphatic aldehyde or ketone,molecule.ecocyc.Aliphatic-aldehydes-or-ketones,,,,,,
molecule.ecocyc.Monosaccharide-Derivatives,small_molecule,a monosaccharide derivative,,low,absent|low|medium|high,EcoCyc compound Monosaccharide-Derivatives,,,EcoCyc,Monosaccharide-Derivatives,EcoCyc:Monosaccharide-Derivatives|CHEBI:63367,false,true,sm:chebi:63367,a monosaccharide derivative,molecule.ecocyc.Monosaccharide-Derivatives,,,,,,
molecule.ecocyc.Aliphatic-Amines,small_molecule,an aliphatic amine,RCH2NH2|RCH(2)NH(2),low,absent|low|medium|high,EcoCyc compound Aliphatic-Amines,,,EcoCyc,Aliphatic-Amines,EcoCyc:Aliphatic-Amines,false,true,sm:name:an aliphatic amine,an aliphatic amine,molecule.ecocyc.Aliphatic-Amines,,,,,,
molecule.ecocyc.Corrinoids,small_molecule,a corrinoid,,low,absent|low|medium|high,"Corrinoids are a group of compounds based on the skeleton of Corrins corrin, a cyclic system containing four pyrrole rings similar to porphyrins. They often contain a cobalt atom. ""Corrinoid proteins"" are proteins that bind corrinoid cofactors. The most common corrinoid proteins are methyltransferases and reductive dehalogenases .",,,EcoCyc,Corrinoids,EcoCyc:Corrinoids|LIGAND-CPD:C06021|CHEBI:33913,false,true,sm:chebi:33913,a corrinoid,molecule.ecocyc.Corrinoids,,,,,,
molecule.ecocyc.Homopolymer-Macromolecules,small_molecule,a homopolymer macromolecule,,low,absent|low|medium|high,A homopolymer macromolecule is a macromolecule derived from one type of monomer.,,,EcoCyc,Homopolymer-Macromolecules,EcoCyc:Homopolymer-Macromolecules|CHEBI:37997,false,true,sm:chebi:37997,a homopolymer macromolecule,molecule.ecocyc.Homopolymer-Macromolecules,,,,,,
molecule.ecocyc.Nucleobase-analogues,small_molecule,a nucleobase analogue,,low,absent|low|medium|high,EcoCyc compound Nucleobase-analogues,,,EcoCyc,Nucleobase-analogues,EcoCyc:Nucleobase-analogues,false,true,sm:name:a nucleobase analogue,a nucleobase analogue,molecule.ecocyc.Nucleobase-analogues,,,,,,
molecule.ecocyc.Negatively-charged-polar-amino-acids,small_molecule,a negatively-charged polar amino acid,,low,absent|low|medium|high,This class stands for all of the negatively-charged polar amino acids. It contains both α and non-α amino acids.,,,EcoCyc,Negatively-charged-polar-amino-acids,EcoCyc:Negatively-charged-polar-amino-acids,false,true,sm:name:a negatively charged polar amino acid,a negatively-charged polar amino acid,molecule.ecocyc.Negatively-charged-polar-amino-acids,,,,,,
molecule.ecocyc.Glycolipids,small_molecule,a glycolipid,,low,absent|low|medium|high,This class includes molecules that are composed of a lipid joined by a glycosidic linkage to a carbohydrate moiety.,,,EcoCyc,Glycolipids,EcoCyc:Glycolipids|LIGAND-CPD:C05005|CHEBI:33563,false,true,sm:chebi:33563,a glycolipid,molecule.ecocyc.Glycolipids,,,,,,
molecule.ecocyc.Peptidoglycan-Internal-Segments,small_molecule,a peptidoglycan internal segment,,low,absent|low|medium|high,This class of compounds consists of internal segments of peptidoglycan polymers. They do not describe either end of the glycan strand.,,,EcoCyc,Peptidoglycan-Internal-Segments,EcoCyc:Peptidoglycan-Internal-Segments,false,true,sm:name:a peptidoglycan internal segment,a peptidoglycan internal segment,molecule.ecocyc.Peptidoglycan-Internal-Segments,,,,,,
molecule.ecocyc.Sugar-Phosphate-Derivatives,small_molecule,a sugar phosphate derivative,,low,absent|low|medium|high,EcoCyc compound Sugar-Phosphate-Derivatives,,,EcoCyc,Sugar-Phosphate-Derivatives,EcoCyc:Sugar-Phosphate-Derivatives,false,true,sm:name:a sugar phosphate derivative,a sugar phosphate derivative,molecule.ecocyc.Sugar-Phosphate-Derivatives,,,,,,
molecule.ecocyc.Polar-amino-acids,small_molecule,a polar amino acid,,low,absent|low|medium|high,"This class stands for all of the polar amino acids. The class contains both α and non-α amino acids. Amino acids with polar side groups form hydrogen bonds with water molecules, and are classified as hydrophilic. Polar amino acids that have substituents carrying either negative or positive charges in aqueous solution at neutral pH are strongly hydrophilic.",,,EcoCyc,Polar-amino-acids,EcoCyc:Polar-amino-acids|METANETX:MNXM77169,false,true,sm:name:a polar amino acid,a polar amino acid,molecule.ecocyc.Polar-amino-acids,,,,,,
molecule.ecocyc.Even-Straight-Chain-234-Sat-FA,small_molecule,"an even numbered straight chain 2,3,4-saturated fatty acid",,low,absent|low|medium|high,"This class holds straight chain (unbranched) 2,3,4-saturated fatty acids that contain an even number of carbon atoms.",,,EcoCyc,Even-Straight-Chain-234-Sat-FA,EcoCyc:Even-Straight-Chain-234-Sat-FA,false,true,sm:name:an even numbered straight chain 2 3 4 saturated fatty acid,"an even numbered straight chain 2,3,4-saturated fatty acid",molecule.ecocyc.Even-Straight-Chain-234-Sat-FA,,,,,,
molecule.ecocyc.N-Methyl-D-Amino-Acids,small_molecule,a N-methyl D-amino acid,,low,absent|low|medium|high,This compound class stands for generic and unspecified N-methylated D-amino acids.,,,EcoCyc,N-Methyl-D-Amino-Acids,EcoCyc:N-Methyl-D-Amino-Acids,false,true,sm:name:a n methyl d amino acid,a N-methyl D-amino acid,molecule.ecocyc.N-Methyl-D-Amino-Acids,,,,,,
molecule.ecocyc.Alpha-D-Galactosides,small_molecule,an α-D-galactoside,,low,absent|low|medium|high,This compound class stands for generic and unspecified α-D-galactosides.,,,EcoCyc,Alpha-D-Galactosides,EcoCyc:Alpha-D-Galactosides|SEED:cpd22354|CHEBI:46953|METANETX:MNXM41032,false,true,sm:chebi:46953,an α-D-galactoside,molecule.ecocyc.Alpha-D-Galactosides,,,,,,
molecule.ecocyc.UDP-sugar,small_molecule,a UDP-sugar,,low,absent|low|medium|high,This compound class stands for generic and unspecified UDP-sugars.,,,EcoCyc,UDP-sugar,EcoCyc:UDP-sugar|METANETX:MNXM5982|CHEBI:17297|LIGAND-CPD:C05227,false,true,sm:chebi:17297,a UDP-sugar,molecule.ecocyc.UDP-sugar,,,,,,
molecule.ecocyc.Cobamide-Lower-Ligands,small_molecule,a cobamide lower ligand,,low,absent|low|medium|high,"Cobamides ""A cobamide"" is a corrinoid molecule based on the structure of CPD-20843, a cobalt-corrinoid hexaamide that is formed from COBINAMIDE by the attachment of an α-D-ribofuranose 3-phosphate residue at the 2 position of the aminopropanol chain. Cobamides serve as cofactors for a number of important enzymes. A key structural feature of cobinamides is a corrin ring with a cobalt ion in its center. Four of the six coordination sites of the cobalt ion are provided by the corrin ring, while the other two are provided by Cobamide-Upper-Ligands upper (β) and Cobamide-Lower-Ligands lower (α) ligands, which are located above and below the ring plane, respectively. The best known cobamide, Cobalamins cobalamin, contains DIMETHYLBENZIMIDAZOLE as the lower ligand and either a methyl group or 5'-deoxyadenosyl group as the upper ligand. At least 16 different cobamides with structural variability in the lower ligand have been described. The 16 bases reported so far are BENZIMIDAZOLE, CPD-18320, CPD-18321, CPD-18497, CPD-18495, DIMETHYLBENZIMIDAZOLE, ADENINE, CPD-18323, GUANINE, HYPOXANTHINE, PHENOL, CPD-108, CPD-5723, CPD-20865, CPD-20864, and CPD-20885 . Different cobamides may not be functionally equivalent as cofactors for cobamide-dependent enzymes .",,,EcoCyc,Cobamide-Lower-Ligands,EcoCyc:Cobamide-Lower-Ligands,false,true,sm:name:a cobamide lower ligand,a cobamide lower ligand,molecule.ecocyc.Cobamide-Lower-Ligands,,,,,,
molecule.ecocyc.Beta-D-Fructofuranosides,small_molecule,a β-D-fructofuranoside,,low,absent|low|medium|high,"A β-D-fructofuranoside is any Glycosides ""glycoside"" that has a BETA-D-FRUCTOSE ""β-D-fructofuranose"" unit at its reducing end.",,,EcoCyc,Beta-D-Fructofuranosides,EcoCyc:Beta-D-Fructofuranosides|CHEBI:10370|METANETX:MNXM43810|LIGAND-CPD:C03437,false,true,sm:chebi:10370,a β-D-fructofuranoside,molecule.ecocyc.Beta-D-Fructofuranosides,,,,,,
molecule.ecocyc.Organooxygen-Compounds,small_molecule,an organooxygen compound,,low,absent|low|medium|high,This very broad class describes organochalcogen compounds containing at least one carbon-oxygen bond.,,,EcoCyc,Organooxygen-Compounds,EcoCyc:Organooxygen-Compounds|CHEBI:36963,false,true,sm:chebi:36963,an organooxygen compound,molecule.ecocyc.Organooxygen-Compounds,,,,,,
molecule.ecocyc.Globo-Series-GSLs,small_molecule,a globo-series glycosphingolipid,,low,absent|low|medium|high,"Glycosphingolipids Glycosphingolipids are a family of complex lipids composed of Ceramides and mono- or oligosaccharide moieties that play an important role in various cellular functions including recognition, cell adhesion, proliferation and differentiation . The lipid portion is embedded in the outer plasma membrane leaflet and the sugar chains extended to the outer environment, acting as an antigen. Together with Glycoproteins glycoproteins and Glycosaminoglycans glycosaminoglycans, the glycosphingolipids contribute to the glycocalyx that covers eukaryotic cell surfaces. Glycosphingolipids are synthesized by the sequential addition of sugar residues to ceramide by glycosyltransferases that are specific to each glycosidic linkage. Glycoshphingolipids have been classified into the following 12 series based on their structure: Arthro-Series-GSLs arthro, Gala-Series-GSLs gala, Ganglio-Series-GSLs ganglio, Globo-Series-GSLs globo, Isoglobo-Series-GSLs isoglobo, Lacto-Series-GSLs lacto, Muco-Series-GSLs muco, Mollu-Series-GSLs mollu, Neogala-Series-GSLs neogala, Neolacto-Series-GSLs neolacto, Schisto-Series-GSLs schisto and Spirometo-Series-GSLs spirometo . Lactosyl-Ceramides Lactosylceramide is an important branching point, being a common precursor for the synthesis of the four major classes of glycosphingolipids: the Ganglio-Series-GSLs ""ganglio series"", the Lacto-Series-GSLs ""lacto series"", the Neolacto-Series-GSLs ""neolacto series"", and the Globo-Series-GSLs ""globo series"" . The core structure that defines the Globo-Series-GSLs ""globo series"" is GalNAcβ(1,3)Galα(1,4)Galβ(1,4)Glcβ-Cer. In the diagram below, R1 describes the variable part of the sphingoid base, R2 describes the fatty acid, and R3 describes the glycan moiety.",,,EcoCyc,Globo-Series-GSLs,EcoCyc:Globo-Series-GSLs,false,true,sm:name:a globo series glycosphingolipid,a globo-series glycosphingolipid,molecule.ecocyc.Globo-Series-GSLs,,,,,,
molecule.ecocyc.Aci-Nitro-Compounds,small_molecule,an aci-nitro compound,,low,absent|low|medium|high,"aci-Nitro compounds are tautomers of C-nitro-compounds ""C-nitro compounds"".",,,EcoCyc,Aci-Nitro-Compounds,EcoCyc:Aci-Nitro-Compounds|CHEBI:136622,false,true,sm:chebi:136622,an aci-nitro compound,molecule.ecocyc.Aci-Nitro-Compounds,,,,,,
molecule.ecocyc.Aliphatic-Diamines,small_molecule,an aliphatic diamine,aliphatic diamine,low,absent|low|medium|high,This compound class collects various aliphatic diamines.,,,EcoCyc,Aliphatic-Diamines,EcoCyc:Aliphatic-Diamines,false,true,sm:name:an aliphatic diamine,an aliphatic diamine,molecule.ecocyc.Aliphatic-Diamines,,,,,,
molecule.ecocyc.Pteroates,small_molecule,a pteroate,,low,absent|low|medium|high,"Pteroate is the name given of a specific compund (PTEROATE), but also serves as the name of a class of compounds that are based on the PTEROATE skeleton. When conjugated to a GLT molecule,pteroates form All-Folates folates.",,,EcoCyc,Pteroates,EcoCyc:Pteroates|CHEBI:38796,false,true,sm:chebi:38796,a pteroate,molecule.ecocyc.Pteroates,,,,,,
molecule.ecocyc.Glycosyl-Compounds,small_molecule,a glycosyl compound,,low,absent|low|medium|high,"A glycosyl compound is a carbohydrate derivative arising formally from the elimination of water from a glycosidic hydroxy group and the attachment of the exposed carbon atom to an oxygen, carbon, nitrogen or sulfur atom of a second entity from which an H atom has been removed.",,,EcoCyc,Glycosyl-Compounds,EcoCyc:Glycosyl-Compounds|CHEBI:63161,false,true,sm:chebi:63161,a glycosyl compound,molecule.ecocyc.Glycosyl-Compounds,,,,,,
molecule.ecocyc.Deoxy-Sugars,small_molecule,a deoxy sugar,,low,absent|low|medium|high,This compound class stands for any sugar having a hydroxy group replaced.,,,EcoCyc,Deoxy-Sugars,EcoCyc:Deoxy-Sugars|CHEBI:23639,false,true,sm:chebi:23639,a deoxy sugar,molecule.ecocyc.Deoxy-Sugars,,,,,,
molecule.ecocyc.Aliphatic-Sulfonates,small_molecule,an aliphatic sulfonate,,low,absent|low|medium|high,This compound class stands for generic and unspecified aliphatic sulfonate compounds.,,,EcoCyc,Aliphatic-Sulfonates,EcoCyc:Aliphatic-Sulfonates|SEED:cpd28694|METANETX:MNXM148895,false,true,sm:name:an aliphatic sulfonate,an aliphatic sulfonate,molecule.ecocyc.Aliphatic-Sulfonates,,,,,,
molecule.ecocyc.Rings,small_molecule,a ring,,low,absent|low|medium|high,EcoCyc compound Rings,,,EcoCyc,Rings,EcoCyc:Rings,false,true,sm:name:a ring,a ring,molecule.ecocyc.Rings,,,,,,
molecule.ecocyc.DNA-purines,small_molecule,a purine in DNA,a DNA purine,low,absent|low|medium|high,This compound class stands for generic and unspecified DNA purines.,,,EcoCyc,DNA-purines,EcoCyc:DNA-purines,false,true,sm:name:a purine in dna,a purine in DNA,molecule.ecocyc.DNA-purines,,,,,,
molecule.ecocyc.Aldotetraoses,small_molecule,an aldotetraose,,low,absent|low|medium|high,EcoCyc compound Aldotetraoses,,,EcoCyc,Aldotetraoses,EcoCyc:Aldotetraoses,false,true,sm:name:an aldotetraose,an aldotetraose,molecule.ecocyc.Aldotetraoses,,,,,,
molecule.ecocyc.Polymer-Segment-Enzyme-Substrates,small_molecule,a polymer segment enzyme substrate,,low,absent|low|medium|high,"This class contains reaction substrates that stand for a segment or section of an extended polymer, like a nucleic acid. An enzyme might typically recognize a limited motif on the polymer, but the detailed sequence of the full length polymer will not matter in such reactions.",,,EcoCyc,Polymer-Segment-Enzyme-Substrates,EcoCyc:Polymer-Segment-Enzyme-Substrates,false,true,sm:name:a polymer segment enzyme substrate,a polymer segment enzyme substrate,molecule.ecocyc.Polymer-Segment-Enzyme-Substrates,,,,,,
molecule.ecocyc.Furanosides,small_molecule,a furanoside,,low,absent|low|medium|high,A furanoside is a glycoside where the sugar moiety is in a furanose form.,,,EcoCyc,Furanosides,EcoCyc:Furanosides,false,true,sm:name:a furanoside,a furanoside,molecule.ecocyc.Furanosides,,,,,,
molecule.ecocyc.Compounds-Holder-Class,small_molecule,a nonspecific small molecule,,low,absent|low|medium|high,EcoCyc compound Compounds-Holder-Class,,,EcoCyc,Compounds-Holder-Class,EcoCyc:Compounds-Holder-Class,false,true,sm:name:a nonspecific small molecule,a nonspecific small molecule,molecule.ecocyc.Compounds-Holder-Class,,,,,,
molecule.ecocyc.Nucleoside-Phosphate-Groups,small_molecule,a nucleoside phosphate group,,low,absent|low|medium|high,EcoCyc compound Nucleoside-Phosphate-Groups,,,EcoCyc,Nucleoside-Phosphate-Groups,EcoCyc:Nucleoside-Phosphate-Groups,false,true,sm:name:a nucleoside phosphate group,a nucleoside phosphate group,molecule.ecocyc.Nucleoside-Phosphate-Groups,,,,,,
molecule.ecocyc.Carboxylate-Derivatives,small_molecule,a carboxylate derivative,a carboxylic acid derivative,low,absent|low|medium|high,EcoCyc compound Carboxylate-Derivatives,,,EcoCyc,Carboxylate-Derivatives,EcoCyc:Carboxylate-Derivatives,false,true,sm:name:a carboxylate derivative,a carboxylate derivative,molecule.ecocyc.Carboxylate-Derivatives,,,,,,
molecule.ecocyc.Long-Chain-Aldehydes,small_molecule,a long-chain fatty aldehyde,a long-chain aldehyde,low,absent|low|medium|high,"Fatty-Aldehydes ""Fatty aldehydes"" are aldehydes that are formed by the reduction of the carboxylic acid group of Fatty-Acids fatty acids. Many enzymes that act on fatty acids, as well as the corresponding Fatty-Acyl-CoAs ""fatty acyl-CoAs"", Fatty-Alcohols alcohols, and Fatty-Aldehydes aldehydes, have evolved to recognize substrates with a limited range of chain lengths. To classify these enzymes, it is helpful to divide the substrates into smaller groups based on their chain length. The following subgroups have been defined: Short-Chain-Aldehydes ""Short-chain fatty aldehydes"" are derived from Short-chain-fatty-acids ""fatty acids that have 3-5 carbons in the longest chain"". Medium-Chain-Aldehydes ""Medium-chain fatty aldehydes"" are derived from Medium-chain-fatty-acids ""fatty acids that have 6-12 carbons in the longest chain"". Long-Chain-Aldehydes ""Long-chain fatty aldehydes"" are derived from Long-Chain-Fatty-Acids ""fatty acids that have 13-22 carbons in the longest chain"". Very-Long-Chain-Aldehydes ""Very-long-chain fatty aldehydes"" are derived from Very-long-chain-fatty-acids ""fatty acids that have 23-27 carbons in the longest chain"". Ultra-Long-Chain-Aldehydes ""Ultra-long-chain fatty aldehydes"" are derived from Ultra-long-chain-fatty-acids ""fatty acids that have more than 27 carbons in the longest chain"".",,,EcoCyc,Long-Chain-Aldehydes,EcoCyc:Long-Chain-Aldehydes|SEED:cpd11709|METANETX:MNXM162255|CHEBI:17176|LIGAND-CPD:C00609,false,true,sm:chebi:17176,a long-chain fatty aldehyde,molecule.ecocyc.Long-Chain-Aldehydes,,,,,,
molecule.ecocyc.Acyl-Group,small_molecule,an acyl group,,low,absent|low|medium|high,"an acyl group is a functional group derived by the removal of one or more hydroxyl groups from an oxoacid. This broad definition includes functional groups derived from inorganic oxoacids, however, in organic chemistry the acyl group is almost always derived from a carboxylic acid.",,,EcoCyc,Acyl-Group,EcoCyc:Acyl-Group,false,true,sm:name:an acyl group,an acyl group,molecule.ecocyc.Acyl-Group,,,,,,
molecule.ecocyc.Nucleobase-Containing-Molecular-Entities,small_molecule,a nucleobase-containing molecular entity,,low,absent|low|medium|high,This class stands for any compound whose structure contains a nucleobase.,,,EcoCyc,Nucleobase-Containing-Molecular-Entities,EcoCyc:Nucleobase-Containing-Molecular-Entities|CHEBI:61120,false,true,sm:chebi:61120,a nucleobase-containing molecular entity,molecule.ecocyc.Nucleobase-Containing-Molecular-Entities,,,,,,
molecule.ecocyc.C-Methylated-Amino-Acids,small_molecule,a C-methylated amino acid,a C-methyl amino acid,low,absent|low|medium|high,EcoCyc compound C-Methylated-Amino-Acids,,,EcoCyc,C-Methylated-Amino-Acids,EcoCyc:C-Methylated-Amino-Acids,false,true,sm:name:a c methylated amino acid,a C-methylated amino acid,molecule.ecocyc.C-Methylated-Amino-Acids,,,,,,
molecule.ecocyc.Unknown-Inducers,small_molecule,Unknown-Inducers,an unknown inducer|unknown inducer,low,absent|low|medium|high,This compound class stands for generic and unspecified inducers.,,,EcoCyc,Unknown-Inducers,EcoCyc:Unknown-Inducers,false,true,sm:name:unknown inducers,Unknown-Inducers,molecule.ecocyc.Unknown-Inducers,,,,,,
molecule.ecocyc.C-nitro-compounds,small_molecule,a C-nitro compound,,low,absent|low|medium|high,This class contains compounds that have a nitro group (-NO2) attached to a carbon atom.,,,EcoCyc,C-nitro-compounds,EcoCyc:C-nitro-compounds|CHEBI:35716,false,true,sm:chebi:35716,a C-nitro compound,molecule.ecocyc.C-nitro-compounds,,,,,,
molecule.ecocyc.Cyclic-Dinucleotides,small_molecule,a cyclic dinucleotide,,low,absent|low|medium|high,EcoCyc compound Cyclic-Dinucleotides,,,EcoCyc,Cyclic-Dinucleotides,EcoCyc:Cyclic-Dinucleotides,false,true,sm:name:a cyclic dinucleotide,a cyclic dinucleotide,molecule.ecocyc.Cyclic-Dinucleotides,,,,,,
molecule.ecocyc.Organic-Acids,small_molecule,an organic acid,,low,absent|low|medium|high,An organic acid is any organic molecular entity that is acidic and contains carbon in covalent linkage.,,,EcoCyc,Organic-Acids,EcoCyc:Organic-Acids|CHEBI:64709,false,true,sm:chebi:64709,an organic acid,molecule.ecocyc.Organic-Acids,,,,,,
molecule.ecocyc.Phosphoric-Esters,small_molecule,a phosphoric ester,,low,absent|low|medium|high,EcoCyc compound Phosphoric-Esters,,,EcoCyc,Phosphoric-Esters,EcoCyc:Phosphoric-Esters|CHEBI:37734,false,true,sm:chebi:37734,a phosphoric ester,molecule.ecocyc.Phosphoric-Esters,,,,,,
molecule.ecocyc.Receptor-Protein-Ser-or-Thr-phosphate,small_molecule,a [receptor protein] (L-serine/L-threonine) phosphate,,low,absent|low|medium|high,"This generic class describes either a phosphorylated SER or phosphorylated THR within a receptor protein. In the case of SER, R = H, in the case of THR, R = CH3.",,,EcoCyc,Receptor-Protein-Ser-or-Thr-phosphate,EcoCyc:Receptor-Protein-Ser-or-Thr-phosphate,false,true,sm:name:a receptor protein l serine l threonine phosphate,a [receptor protein] (L-serine/L-threonine) phosphate,molecule.ecocyc.Receptor-Protein-Ser-or-Thr-phosphate,,,,,,
molecule.ecocyc.Galactosaminoglycans,small_molecule,a galactosaminoglycan,,low,absent|low|medium|high,"Glycosaminoglycans Glycosaminoglycans consist of hexosamine and either hexuronic acid or galactose units that are arranged in alternating unbranched sequence, and carry sulfate substituents in various positions. The common glycosaminoglycans include Galactosaminoglycans galactosaminoglycans (Chondroitin-sulfates and Dermatan-Sulfate) and Glucosaminoglycans glucosaminoglycans (Heparan-Sulfate, HEPARIN, KERATAN-6-SULFATE and Hyaluronan).",,,EcoCyc,Galactosaminoglycans,EcoCyc:Galactosaminoglycans|CHEBI:24158,false,true,sm:chebi:24158,a galactosaminoglycan,molecule.ecocyc.Galactosaminoglycans,,,,,,
molecule.ecocyc.Sulfur-Containing-Carboxylates,small_molecule,a sulfur-containing carboxylate,S-containing carboxylic acid|S-containing carboxylic acids|sulfur-containing carboxylic acids,low,absent|low|medium|high,This compound class stands for any carboxylic acid that has a sulfur substituent.,,,EcoCyc,Sulfur-Containing-Carboxylates,EcoCyc:Sulfur-Containing-Carboxylates|CHEBI:33576,false,true,sm:chebi:33576,a sulfur-containing carboxylate,molecule.ecocyc.Sulfur-Containing-Carboxylates,,,,,,
molecule.ecocyc.Protein-Glutamates,small_molecule,a [protein]-L-glutamate,a [protein]-α-L-glutamate|a [protein]-γ-L-glutamate|a peptidyl-glutamate|a peptidyl-L-glutamate,low,absent|low|medium|high,"No structure is available for this compound class, since it includes both Protein-alpha-L-Glutamates and Protein-gamma-glutamates.",,,EcoCyc,Protein-Glutamates,EcoCyc:Protein-gamma-glutamates|METANETX:MNXM147006|EcoCyc:Protein-Glutamates|EcoCyc:Protein-alpha-L-Glutamates|LIGAND-CPD:C00614,false,true,sm:name:a protein l glutamate,a [protein]-L-glutamate,molecule.ecocyc.Protein-Glutamates|molecule.ecocyc.Protein-alpha-L-Glutamates|molecule.ecocyc.Protein-gamma-glutamates,,,,,,
molecule.ecocyc.PROTEIN-L-BETA-ISOASPARTATES,small_molecule,a [protein]-L-β-isoaspartate,,low,absent|low|medium|high,This compound class stands for generic and unspecified protein L-β-aspartates.,,,EcoCyc,PROTEIN-L-BETA-ISOASPARTATES,EcoCyc:PROTEIN-L-BETA-ISOASPARTATES|SEED:cpd27817|METANETX:MNXM21317,false,true,sm:name:a protein l isoaspartate,a [protein]-L-β-isoaspartate,molecule.ecocyc.PROTEIN-L-BETA-ISOASPARTATES,,,,,,
molecule.ecocyc.Aminopyrimidines,small_molecule,an aminopyrimidine,,low,absent|low|medium|high,"Aminopyrimidines are members of the class of pyrimidines in which the pyrimidine is substituted by at least one amino group, as well as derivatives.",,,EcoCyc,Aminopyrimidines,EcoCyc:Aminopyrimidines|CHEBI:38338,false,true,sm:chebi:38338,an aminopyrimidine,molecule.ecocyc.Aminopyrimidines,,,,,,
molecule.ecocyc.Alpha-NAD-P,small_molecule,α-NAD(P)+,α-NAD(P)|α-NAD(P)+,low,absent|low|medium|high,"Alpha-NAD-P is a class of compounds including the instances CPD-16008 and CPD-16007. They should not be confused with the common electron carriers known simply as NAD-P-OR-NOP, whose full name is β-NAD(P)+. The compounds differ in the stereo configuration of the bond between the ribose and the nicotinamide base, which points up in α-NAD(P)+ and down in β-NAD(P)+.",,,EcoCyc,Alpha-NAD-P,EcoCyc:Alpha-NAD-P,false,true,sm:name:nad p,α-NAD(P)+,molecule.ecocyc.Alpha-NAD-P,,,,,,
molecule.ecocyc.Organic-Hydroxy-Compounds,small_molecule,an organic hydroxy compound,,low,absent|low|medium|high,This class includes any organic compound that has at least one hydroxy group attached to a carbon atom.,,,EcoCyc,Organic-Hydroxy-Compounds,EcoCyc:Organic-Hydroxy-Compounds|CHEBI:33822,false,true,sm:chebi:33822,an organic hydroxy compound,molecule.ecocyc.Organic-Hydroxy-Compounds,,,,,,
