entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,is_exogenous,family_key,display_name,merged_from,complex_type,is_virtual,components,critical_components,assembly_condition,notes
molecule.ecocyc.Aralkylamines,small_molecule,an aralkylamine,an aniline|ArCH2NH2,low,absent|low|medium|high,This compound class collects various arylalkylamines.,,,EcoCyc,Aralkylamines,EcoCyc:Aralkylamines|SEED:cpd22389|METANETX:MNXM16141,false,true,sm:name:an aralkylamine,an aralkylamine,molecule.ecocyc.Aralkylamines,,,,,,
molecule.ecocyc.Ketopentoses,small_molecule,a ketopentose,,low,absent|low|medium|high,A ketopentose is a pentose that has a single ketone group at the 2-position.,,,EcoCyc,Ketopentoses,EcoCyc:Ketopentoses|CHEBI:24977,false,true,sm:chebi:24977,a ketopentose,molecule.ecocyc.Ketopentoses,,,,,,
molecule.ecocyc.CPD-18254,small_molecule,hydrophilic solute < 900 Da,,low,absent|low|medium|high,"This compound class stands for generic hydrophilic solutes in transport reactions. They have a molecular mass of smaller than 900Da. Once a given transporter is better characterized, a more specific compound class should be substituted instead.",,,EcoCyc,CPD-18254,EcoCyc:CPD-18254,false,true,sm:name:hydrophilic solute 900 da,hydrophilic solute < 900 Da,molecule.ecocyc.CPD-18254,,,,,,
molecule.ecocyc.Uncharged-polar-amino-acids,small_molecule,an uncharged polar amino acid,,low,absent|low|medium|high,This class stands for all of the non-charged polar amino acids. It contains both α and non-α amino acids.,,,EcoCyc,Uncharged-polar-amino-acids,EcoCyc:Uncharged-polar-amino-acids,false,true,sm:name:an uncharged polar amino acid,an uncharged polar amino acid,molecule.ecocyc.Uncharged-polar-amino-acids,,,,,,
molecule.ecocyc.PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS,small_molecule,a protein L-β-isoaspartate α-methyl ester,,low,absent|low|medium|high,This compound class stands for generic and unspecified protein L-β-aspartate methyl esters.,,,EcoCyc,PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS,EcoCyc:PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS|SEED:cpd27818|METANETX:MNXM21318|CHEBI:8534|LIGAND-CPD:C04311,false,true,sm:chebi:8534,a protein L-β-isoaspartate α-methyl ester,molecule.ecocyc.PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS,,,,,,
molecule.ecocyc.N-Acetyl-D-Hexosaminides,small_molecule,an N-acetyl-D-hexosaminide,an N-acetyl-α-D-hexosaminide|an N-acetyl-β-D-hexosaminide,low,absent|low|medium|high,EcoCyc compound N-Acetyl-alpha-D-Hexosaminides,,,EcoCyc,N-Acetyl-D-Hexosaminides,EcoCyc:N-Acetyl-D-Hexosaminides|EcoCyc:N-Acetyl-alpha-D-Hexosaminides|SEED:cpd12413|LIGAND-CPD:C03879|EcoCyc:N-Acetyl-beta-D-Hexosaminides|METANETX:MNXM63498,false,true,sm:name:an n acetyl d hexosaminide,an N-acetyl-D-hexosaminide,molecule.ecocyc.N-Acetyl-D-Hexosaminides|molecule.ecocyc.N-Acetyl-alpha-D-Hexosaminides|molecule.ecocyc.N-Acetyl-beta-D-Hexosaminides,,,,,,
molecule.ecocyc.Protein-tyrosine-phosphates,small_molecule,a [protein]-L-tyrosine phosphate,a [protein] tyrosine phosphate,low,absent|low|medium|high,This compound class stands for generic and unspecified protein tyrosine phosphates.,,,EcoCyc,Protein-tyrosine-phosphates,EcoCyc:Protein-tyrosine-phosphates|SEED:cpd11820|METANETX:MNXM92621|LIGAND-CPD:C01167,false,true,sm:name:a protein l tyrosine phosphate,a [protein]-L-tyrosine phosphate,molecule.ecocyc.Protein-tyrosine-phosphates,,,,,,
molecule.ecocyc.MAPKK-L-serine-or-L-threonine,small_molecule,a [MAP kinase kinase]-(L-serine/L-threonine),a [mitogen-activated protein kinase kinase]-L-serine/L-threonine,low,absent|low|medium|high,"This generic class describes either an SER or THR within a mitogen-activated protein kinase kinase. In the case of SER, R = H, in the case of THR, R = CH3. Mitogen-Activated-Protein-Kinase ""Mitogen-activated protein kinases"" (MAP kinase or MAPK) are eukaryotic protein kinases that are specific to the amino acids serine, threonine, and tyrosine. They are found in all eukaryotes including unicellular eukaryotes, fungi, plants, and animals. MAP kinases are involved in directing cellular responses to a diverse array of stimuli, such as mitogens, osmotic stress, heat shock and proinflammatory cytokines. They regulate cell functions including proliferation, gene expression, differentiation, mitosis, cell survival, and apoptosis . MAP kinases are catalytically inactive in their base form. In order to be active, they need to be phosphorylated. Most of the MAP kinases belong to the ""classical MAP kinases"" family and need to be phosphorylated on two amino acids, a threonine and a tyrosine, which are found in a TxY motif at the activation loop. Phosphorylation of the tyrosine precedes phosphorylation of the threonine. Some MAP kinases are atypical and require only a single residue in their activation loops to be phosphorylated. MAP-kinase-MEK ""Mitogen-activated protein kinase kinase"" (also known as MAP2K, MEK, MAPKK) is the enzyme that phosphorylates MAP kinases. In humans there are seven genes encoding MAP2K enzymes. MAP2K enzyme also need to be activated by phosphorylation prior to becoming active. The activation is carried out by the serine/threonine protein kinase MAP kinase kinase kinase ( MAP3K or MEKK).",,,EcoCyc,MAPKK-L-serine-or-L-threonine,EcoCyc:MAPKK-L-serine-or-L-threonine|METANETX:MNXM148756,false,true,sm:name:a map kinase kinase l serine l threonine,a [MAP kinase kinase]-(L-serine/L-threonine),molecule.ecocyc.MAPKK-L-serine-or-L-threonine,,,,,,
molecule.ecocyc.Pyrimidine-Bases,small_molecule,a pyrimidine base,pyrimidine base,low,absent|low|medium|high,"Nucleobases are the parts of nucleic acids (DNA and RNA) that are involved in pairing of the two strands. The primary nucleobases are CYTOSINE, GUANINE, ADENINE (found in both DNA and RNA), THYMINE (found only in DNA) and URACIL (found only in RNA), abbreviated as C, G, A, T, and U, respectively. There are many additional nucleobases, usually derived from the primary ones. Based on their structure, nucleobases are divided into Purines purines and Pyrimidine-Bases pyrimidines. PYRIMIDINE-RING Pyrimidine is a heterocyclic aromatic compound similar to benzene, containing two nitrogen atoms at positions 1 and 3 of the ring. The name pyrimidines is also used for compounds derived from the basic pyrimidine compound, including three of the bases found in nucleic acids, namely CYTOSINE, THYMINE, and URACIL.",,,EcoCyc,Pyrimidine-Bases,EcoCyc:Pyrimidine-Bases|SEED:cpd28002|CHEBI:26432|METANETX:MNXM79941,false,true,sm:chebi:26432,a pyrimidine base,molecule.ecocyc.Pyrimidine-Bases,,,,,,
molecule.ecocyc.rRNA-Holder,small_molecule,an rRNA,,low,absent|low|medium|high,"This class stands for general rRNA substrates, to be used in general reactions such as rRNA modification. It is not the same as the super class rRNAs (rRNAs), which includes all rRNAs in the database.",,,EcoCyc,rRNA-Holder,EcoCyc:rRNA-Holder,false,true,sm:name:an rrna,an rRNA,molecule.ecocyc.rRNA-Holder,,,,,,
molecule.ecocyc.SPHINGOLIPIDS,small_molecule,a sphingolipid,,low,absent|low|medium|high,"Sphingolipids are a class of lipids derived from the unsaturated aliphatic amino alcohol SPHINGOSINE. They are named for the mythological Sphinx because at the time (1884) their function was enigmatic . The sphingosine backbone (often referred to as the Sphingoids ""sphingoid base"") is amide-linked to an acyl group, such as a fatty acid, and is often also O-linked to a charged head group such as ethanolamine, serine, or choline. There are three main types of sphingolipids: Ceramides ceramides, Sphingomyelins sphingomyelins, and Glycosphingolipids glycosphingolipids. Ceramides are the most simple sphingolipids, composed of only the sphingoid base and a fatty acid. Sphingomyelins are composed of a ceramide bound to a charged head group, usually PHOSPHORYL-CHOLINE. Glycosphingolipids are composed of a ceramide with attached mono- or oligosaccharide moieties. Mammals usually produce PHOSPHORYL-CHOLINE-containing Sphingomyelins sphingomyelins, while plants and fungi usually produce glycosphingolipids with inositol as the head group.",,,EcoCyc,SPHINGOLIPIDS,EcoCyc:SPHINGOLIPIDS|CHEBI:26739,false,true,sm:chebi:26739,a sphingolipid,molecule.ecocyc.SPHINGOLIPIDS,,,,,,
molecule.ecocyc.Cyclic-Purine-Dinucleotides,small_molecule,a cyclic purine dinucleotide,,low,absent|low|medium|high,EcoCyc compound Cyclic-Purine-Dinucleotides,,,EcoCyc,Cyclic-Purine-Dinucleotides,EcoCyc:Cyclic-Purine-Dinucleotides|CHEBI:47037,false,true,sm:chebi:47037,a cyclic purine dinucleotide,molecule.ecocyc.Cyclic-Purine-Dinucleotides,,,,,,
molecule.ecocyc.Amino-Acid-Derivatives,small_molecule,an amino acid derivative,,low,absent|low|medium|high,"This class contains derivatives of amino acids. These compounds are derived from amino acids, but are no longer classified as amino acids, as they do not contain both an amine and a carboxyl functional groups.",,,EcoCyc,Amino-Acid-Derivatives,EcoCyc:Amino-Acid-Derivatives,false,true,sm:name:an amino acid derivative,an amino acid derivative,molecule.ecocyc.Amino-Acid-Derivatives,,,,,,
molecule.ecocyc.2-Oxo-carboxylates,small_molecule,a 2-oxo carboxylate,2-oxo acid|an α keto acid|a keto acid|a 2-oxo acid|a 2-ketocarboxylate,low,absent|low|medium|high,This compound class stands for generic and unspecified 2-oxo acids.,,,EcoCyc,2-Oxo-carboxylates,EcoCyc:2-Oxo-carboxylates|CHEBI:35910,false,true,sm:chebi:35910,a 2-oxo carboxylate,molecule.ecocyc.2-Oxo-carboxylates,,,,,,
molecule.ecocyc.Lipids,small_molecule,a lipid,,low,absent|low|medium|high,"The term lipid has a broad definition, meaning a biologically important molecule that is soluble in nonpolar solvents but not in water.",,,EcoCyc,Lipids,EcoCyc:Lipids|CHEBI:18059|LIGAND-CPD:C01356,false,true,sm:chebi:18059,a lipid,molecule.ecocyc.Lipids,,,,,,
molecule.ecocyc.N-Alpha-Methyl-L-Amino-Acids,small_molecule,an Nα-methyl L-amino acid,an N-methyl L-amino acid,low,absent|low|medium|high,This compound class stands for generic and unspecified Nα-methylated L-amino acids.,,,EcoCyc,N-Alpha-Methyl-L-Amino-Acids,EcoCyc:N-Alpha-Methyl-L-Amino-Acids|LIGAND-CPD:C03148|SEED:cpd12261|METANETX:MNXM12400|EcoCyc:N-Methyl-L-Amino-Acids,false,true,sm:name:an n methyl l amino acid,an Nα-methyl L-amino acid,molecule.ecocyc.N-Alpha-Methyl-L-Amino-Acids|molecule.ecocyc.N-Methyl-L-Amino-Acids,,,,,,
molecule.ecocyc.Protein-Tyrosines,small_molecule,a [protein]-L-tyrosine,a protein tyrosine|protein tyrosine,low,absent|low|medium|high,This compound class stands for generic and unspecified protein tyrosines.,,,EcoCyc,Protein-Tyrosines,EcoCyc:Protein-Tyrosines|SEED:cpd11704|METANETX:MNXM7713|LIGAND-CPD:C00585,false,true,sm:name:a protein l tyrosine,a [protein]-L-tyrosine,molecule.ecocyc.Protein-Tyrosines,,,,,,
molecule.ecocyc.O-Methylated-Amino-Acids,small_molecule,an O-methylated amino acid,an O-methyl amino acid|an amino acid methyl-ester,low,absent|low|medium|high,EcoCyc compound O-Methylated-Amino-Acids,,,EcoCyc,O-Methylated-Amino-Acids,EcoCyc:O-Methylated-Amino-Acids,false,true,sm:name:an o methylated amino acid,an O-methylated amino acid,molecule.ecocyc.O-Methylated-Amino-Acids,,,,,,
molecule.ecocyc.B-vitamins,small_molecule,a B vitamin,,low,absent|low|medium|high,"B vitamins are a class of eight water-soluble vitamins that play important roles in cell metabolism. The B vitamins were classified together because all of them serve as either enzyme cofactors, cosubstrates in important metabolic reactions, or as precursors for cofactors or cosubstrates. The different B vitamins are chemically distinct compounds that do not resemble one another. The dietary supplements known as ""B complexes"" contain all eight of these compounds. The eight members of the vitamin B class are: Vitamin B1: THIAMINE Vitamin B2: RIBOFLAVIN Vitamin B3: NIACINE, NIACINAMIDE, and NICOTINAMIDE_RIBOSE ""nicotinamide riboside"" Vitamin B5: PANTOTHENATE Vitamin B6: PYRIDOXINE, PYRIDOXAL, and PYRIDOXAMINE Vitamin B7: BIOTIN Vitamin B9: THF folate Vitamin B12: ADENOSYLCOBALAMIN (although supplements usually contain CPD-9037 or CPD-315, which are converted to the active form in vivo)",,,EcoCyc,B-vitamins,EcoCyc:B-vitamins,false,true,sm:name:a b vitamin,a B vitamin,molecule.ecocyc.B-vitamins,,,,,,
molecule.ecocyc.ssDNA-Holder,small_molecule,a single-stranded DNA,a ssDNA,low,absent|low|medium|high,"This super class stands for generic and unspecified single-stranded DNA substrates that can be modified by enzymes. It is not the same as the super class Single-Stranded-DNAs, which includes all ssDNA entries in the database. This class should be used in general reactions such as ssDNA degradation.",,,EcoCyc,ssDNA-Holder,EcoCyc:ssDNA-Holder,false,true,sm:name:a single stranded dna,a single-stranded DNA,molecule.ecocyc.ssDNA-Holder,,,,,,
molecule.ecocyc.DNA-Cytidines,small_molecule,a 2'-deoxycytidine in DNA,a DNA cytidine,low,absent|low|medium|high,This compound class stands for generic and unspecified DNA cytidines.,,,EcoCyc,DNA-Cytidines,EcoCyc:DNA-Cytidines,false,true,sm:name:a 2 deoxycytidine in dna,a 2'-deoxycytidine in DNA,molecule.ecocyc.DNA-Cytidines,,,,,,
molecule.ecocyc.Nucleotide-Carbohydrates,small_molecule,a nucleotide-carbohydrate,,low,absent|low|medium|high,EcoCyc compound Nucleotide-Carbohydrates,,,EcoCyc,Nucleotide-Carbohydrates,EcoCyc:Nucleotide-Carbohydrates|CHEBI:35241,false,true,sm:chebi:35241,a nucleotide-carbohydrate,molecule.ecocyc.Nucleotide-Carbohydrates,,,,,,
molecule.ecocyc.Indole-Derivatives,small_molecule,an indole derivative,,low,absent|low|medium|high,EcoCyc compound Indole-Derivatives,,,EcoCyc,Indole-Derivatives,EcoCyc:Indole-Derivatives,false,true,sm:name:an indole derivative,an indole derivative,molecule.ecocyc.Indole-Derivatives,,,,,,
molecule.ecocyc.Aromatic-Amino-Acids,small_molecule,an aromatic amino acid,,low,absent|low|medium|high,This class stands for amino acids whose side chain contains an aromatic ring. It contains both α and non-α amino acids.,,,EcoCyc,Aromatic-Amino-Acids,EcoCyc:Aromatic-Amino-Acids|SEED:cpd00753|METANETX:MNXM7083|LIGAND-CPD:C01021|CHEBI:33856,false,true,sm:chebi:33856,an aromatic amino acid,molecule.ecocyc.Aromatic-Amino-Acids,,,,,,
molecule.ecocyc.Carbocyclic-Compounds,small_molecule,a carbocyclic compound,,low,absent|low|medium|high,EcoCyc compound Carbocyclic-Compounds,,,EcoCyc,Carbocyclic-Compounds,EcoCyc:Carbocyclic-Compounds|CHEBI:33598,false,true,sm:chebi:33598,a carbocyclic compound,molecule.ecocyc.Carbocyclic-Compounds,,,,,,
molecule.ecocyc.Aromatic-Polymers,small_molecule,an aromatic polymer,,low,absent|low|medium|high,EcoCyc compound Aromatic-Polymers,,,EcoCyc,Aromatic-Polymers,EcoCyc:Aromatic-Polymers,false,true,sm:name:an aromatic polymer,an aromatic polymer,molecule.ecocyc.Aromatic-Polymers,,,,,,
molecule.ecocyc.Bicyclic-Compounds,small_molecule,a bicyclic compound,,low,absent|low|medium|high,Bicyclic compounds are molecules that feature two fused rings.,,,EcoCyc,Bicyclic-Compounds,EcoCyc:Bicyclic-Compounds,false,true,sm:name:a bicyclic compound,a bicyclic compound,molecule.ecocyc.Bicyclic-Compounds,,,,,,
molecule.ecocyc.Glycoproteins,small_molecule,a glycoprotein,,low,absent|low|medium|high,"Glycoproteins are proteins that have been modified by the attachment of a glycan (carbohydrate) moiety. This process is known as ""protein glycosylation"". The most common forms of protein glycosylation include: N-linked glycosylation, where the glycan is attached to a nitrogen of asparagine or arginine side-chains. O-linked glycosylation, where the glycan is attached to the hydroxyl oxygen of serine, threonine, tyrosine, hydroxylysine, or hydroxyproline side-chains. Other, less common, forms of protein glycosylation include phosphoglycans, in which the glycan is linked through the phosphate of a phosphoserine, and C-linked glycans, where the glycan is attached to a carbon on a tryptophan side-chain. A special form of protein glycosylation is glypiation, in which a protein is attached to a lipid anchor via a glycan chain.",,,EcoCyc,Glycoproteins,EcoCyc:Glycoproteins,false,true,sm:name:a glycoprotein,a glycoprotein,molecule.ecocyc.Glycoproteins,,,,,,
molecule.ecocyc.Aldehydes-Or-Ketones,small_molecule,an aldehyde or ketone,aldehyde or ketone,low,absent|low|medium|high,EcoCyc compound Aldehydes-Or-Ketones,,,EcoCyc,Aldehydes-Or-Ketones,EcoCyc:Aldehydes-Or-Ketones|SEED:cpd22320|METANETX:MNXM15794,false,true,sm:name:an aldehyde or ketone,an aldehyde or ketone,molecule.ecocyc.Aldehydes-Or-Ketones,,,,,,
molecule.ecocyc.Fatty-acid-derivatives,small_molecule,a fatty acid derivative,,low,absent|low|medium|high,EcoCyc compound Fatty-acid-derivatives,,,EcoCyc,Fatty-acid-derivatives,EcoCyc:Fatty-acid-derivatives|CHEBI:61697,false,true,sm:chebi:61697,a fatty acid derivative,molecule.ecocyc.Fatty-acid-derivatives,,,,,,
molecule.ecocyc.Alditol-Derivatives,small_molecule,an alditol derivative,a sugar alcohol derivative,low,absent|low|medium|high,EcoCyc compound Alditol-Derivatives,,,EcoCyc,Alditol-Derivatives,EcoCyc:Alditol-Derivatives|CHEBI:63423,false,true,sm:chebi:63423,an alditol derivative,molecule.ecocyc.Alditol-Derivatives,,,,,,
molecule.ecocyc.Olefins,small_molecule,an olefin,,low,absent|low|medium|high,"This class includes hydrocarbons that have one or more carbon-carbon double bonds, not including formal double bonds in aromatic compounds. Members of this class may be cyclic or acyclic.",,,EcoCyc,Olefins,EcoCyc:Olefins|CHEBI:33641,false,true,sm:chebi:33641,an olefin,molecule.ecocyc.Olefins,,,,,,
molecule.ecocyc.Non-Acylated-Acyl-Acceptors,small_molecule,a non-acylated acyl acceptor,a non-acylated acyl donor,low,absent|low|medium|high,EcoCyc compound Non-Acylated-Acyl-Acceptors,,,EcoCyc,Non-Acylated-Acyl-Acceptors,EcoCyc:Non-Acylated-Acyl-Acceptors,false,true,sm:name:a non acylated acyl acceptor,a non-acylated acyl acceptor,molecule.ecocyc.Non-Acylated-Acyl-Acceptors,,,,,,
molecule.ecocyc.Delta-Lactams,small_molecule,a δ-lactam,,low,absent|low|medium|high,"This compound class stands for Lactams lactams in which the amide bond is contained within a six-membered ring, which includes the amide nitrogen and the carbonyl carbon.",,,EcoCyc,Delta-Lactams,EcoCyc:Delta-Lactams|CHEBI:77727,false,true,sm:chebi:77727,a δ-lactam,molecule.ecocyc.Delta-Lactams,,,,,,
molecule.ecocyc.Pyrimidine-Nucleosides,small_molecule,a pyrimidine nucleoside,an N-D-ribosylpyrimidine|pyrimidine nucleoside,low,absent|low|medium|high,"Nucleosides are glycosylamines consisting of Bases bound to a CPD0-1110 ribose or 2-DEOXYRIBOSE sugar via a β-glycosidic linkage. The nucleosides are called Ribonucleosides ribonucleosides when the sugar is CPD0-1110 ribose, and Deoxy-Ribonucleosides deoxyribonucleosides when it is 2-DEOXYRIBOSE. Common Ribonucleosides ribonucleosides include CYTIDINE, URIDINE, ADENOSINE, GUANOSINE and INOSINE. Examples of Deoxy-Ribonucleosides deoxyribonucleosides include THYMIDINE and DEOXYADENOSINE. When nucleosides are phosphorylated on the sugar's primary alcohol group, the resulting phosphonucleosides are called Nucleotides nucleotides. Pyrimidine is a heterocyclic aromatic compound similar to benzene, containing two nitrogen atoms at positions 1 and 3 of the ring. The name pyrimidines is also used for compounds derived from the basic pyrimidine compound, including three of the nucleosides found in nucleic acids, namely CYTIDINE, THYMIDINE, and URIDINE.",,,EcoCyc,Pyrimidine-Nucleosides,EcoCyc:Pyrimidine-Nucleosides|METANETX:MNXM79949|CHEBI:26440|LIGAND-CPD:C03169,false,true,sm:chebi:26440,a pyrimidine nucleoside,molecule.ecocyc.Pyrimidine-Nucleosides,,,,,,
